wavelength_nm,00:00:00.000,00:00:21.555,00:00:41.481,00:01:01.753,00:01:21.720,00:01:41.615,00:02:01.497,00:02:21.395,00:02:41.651,00:03:01.537,00:03:21.413,00:03:41.685,00:04:01.563,00:04:21.460,00:04:41.369,00:05:01.669,00:05:21.553,00:05:41.401,00:06:01.663,00:06:21.518,00:06:41.379,00:07:01.644,00:07:21.506,00:07:41.370,00:08:01.639,00:08:21.500,00:08:41.750,00:09:01.607,00:09:21.479,00:09:41.749,00:10:01.608,00:10:21.467,00:10:41.731,00:11:01.596,00:11:21.457,00:11:41.726,00:12:01.585,00:12:21.444,00:12:41.712,00:13:01.580,00:13:21.444,00:13:41.716,00:14:01.584,00:14:21.460,00:14:41.727,00:15:01.583,00:15:21.456,00:15:41.724,00:16:01.582,00:16:21.446,00:16:41.701,00:17:01.566,00:17:21.434,00:17:41.693,00:18:01.556,00:18:21.423,00:18:41.687,00:19:01.550,00:19:21.412,00:19:41.690,00:20:01.550,00:20:21.419,00:20:41.678,00:21:01.542,00:21:21.410,00:21:41.679,00:22:01.548,00:22:21.411,00:22:41.674,00:23:01.532,00:23:21.393,00:23:41.656,00:24:01.518,00:24:21.378,00:24:41.640,00:25:01.505,00:25:21.379,00:25:41.639,00:26:01.498,00:26:21.771,00:26:41.632,00:27:01.502,00:27:21.373,00:27:41.636,00:28:01.499,00:28:21.759,00:28:41.617,00:29:01.475,00:29:21.742,00:29:41.613,00:30:01.481,00:30:21.752,00:30:41.610,00:31:01.471,00:31:21.733,00:31:41.591,00:32:01.451,00:32:21.718,00:32:41.591,00:33:01.462,00:33:21.732,00:33:41.599,00:34:01.466,00:34:21.739,00:34:41.597,00:35:01.462,00:35:21.727,00:35:41.578,00:36:01.432,00:36:21.697,00:36:41.567,00:37:01.439,00:37:21.701,00:37:41.563,00:38:01.437,00:38:21.712,00:38:41.572,00:39:01.448,00:39:21.707,00:39:41.572,00:40:01.441,00:40:21.701,00:40:41.579,00:41:01.437,00:41:21.697,00:41:41.556,00:42:01.422,00:42:21.679,00:42:41.546,00:43:01.399,00:43:21.671,00:43:41.527,00:44:01.387,00:44:21.654,00:44:41.521,00:45:01.389,00:45:21.663,00:45:41.538,00:46:01.416,00:46:21.678,00:46:41.534,00:47:01.392,00:47:21.666,00:47:41.532,00:48:01.383,00:48:21.652,00:48:41.512,00:49:01.383,00:49:21.650,00:49:41.509,00:50:01.361,00:50:21.622,00:50:41.485,00:51:01.748,00:51:21.599,00:51:41.469,00:52:01.732,00:52:21.588,00:52:41.460,00:53:01.724,00:53:21.588,00:53:41.449,00:54:01.719,00:54:21.606,00:54:41.465,00:55:01.731,00:55:21.591,00:55:41.456,00:56:01.728,00:56:21.595,00:56:41.474,00:57:01.750,00:57:21.614,00:57:41.479,00:58:01.746,00:58:21.607,00:58:41.464,00:59:01.740,00:59:21.610,00:59:41.47
305,59.22,61.62,59.33,61.29,62.29,59.06,63.09,59.74,62.59,61.38,63.56,61.7,60.33,63.26,62.32,60.79,61.32,56.76,59.24,57.81,60.27,61.27,63.26,59.63,58.42,60.99,58.81,60.66,58.42,63.76,58.3,61.07,65.49,58.22,64.59,62.6,61.76,59.22,57.42,59.31,61.37,57.65,60.16,58.42,56.79,62.01,62.13,63.58,61.82,59.72,63.0,60.79,60.0,60.44,56.21,56.57,61.6,62.56,59.88,62.07,59.66,64.66,62.51,63.56,64.14,62.01,60.72,60.87,59.24,61.27,63.65,60.49,58.47,59.38,60.71,57.0,62.7,57.92,58.92,61.21,55.35,60.54,63.03,60.49,57.4,58.99,59.52,57.58,54.46,58.77,60.85,59.0,56.62,55.07,56.76,60.47,54.91,60.13,59.35,55.23,54.44,59.72,54.6,56.29,54.88,56.18,53.75,56.56,58.41,59.61,57.95,53.99,53.31,52.75,57.65,56.78,53.68,54.99,55.18,54.6,51.39,53.53,53.28,51.84,54.66,58.05,58.08,52.94,51.7,51.33,51.62,53.0,53.47,55.56,55.59,55.52,52.81,52.5,52.17,53.58,52.48,56.89,48.87,55.81,53.02,56.02,55.59,55.15,54.84,50.09,53.19,52.03,55.74,49.84,52.69,52.78,50.93,50.02,52.8,51.87,51.01,51.8,49.59,51.97,49.04,52.11,55.07,50.35,53.14,52.86,51.94,48.96,49.21,52.7,46.48,47.64,48.26,49.26,48.8,51.47
306,58.24,60.27,58.52,60.2,61.51,58.93,62.96,59.79,61.72,61.32,63.17,60.69,59.83,62.19,62.14,59.73,60.06,56.1,58.55,56.43,58.95,60.26,62.57,59.12,57.17,60.37,58.9,59.13,57.56,63.81,57.35,59.25,64.99,56.92,63.96,62.04,60.8,57.85,56.25,58.59,60.23,56.35,59.06,57.94,55.19,60.84,61.43,62.33,61.29,57.93,62.22,59.35,58.98,59.34,54.69,55.39,60.34,61.09,58.39,61.33,58.21,64.07,62.07,62.02,62.13,61.22,60.01,58.61,58.55,59.88,63.14,59.52,57.35,58.69,59.7,55.05,61.23,57.09,57.25,60.16,54.67,59.69,62.85,58.75,56.32,58.51,58.45,56.32,53.26,57.18,60.99,58.83,55.18,53.62,56.1,59.2,53.54,59.58,57.68,54.46,52.94,59.08,54.17,56.26,53.3,55.6,53.32,55.46,56.47,58.42,56.57,53.04,52.96,52.0,57.51,55.64,52.12,54.74,54.67,52.63,49.99,52.75,51.94,51.43,53.89,57.31,57.17,51.55,51.29,49.88,50.1,52.43,52.65,54.15,54.78,54.68,52.5,52.35,50.73,53.31,51.26,55.54,47.74,55.35,51.59,55.52,55.17,54.04,53.12,48.46,51.98,50.59,54.08,48.81,51.9,51.09,49.31,49.51,52.18,50.9,50.12,50.48,48.0,50.49,47.74,52.17,54.77,49.58,52.57,51.52,51.4,47.32,48.9,51.44,45.25,46.63,46.22,48.69,47.63,49.64
307,57.29,58.91,57.63,59.14,60.78,58.73,62.64,59.64,60.84,61.18,62.65,59.78,59.24,61.13,61.83,58.64,58.74,55.61,57.79,55.14,57.63,59.32,61.66,58.53,56.09,59.68,58.75,57.64,56.61,63.55,56.53,57.59,64.3,55.71,63.21,61.34,59.68,56.42,55.18,57.9,59.03,55.05,58.1,57.37,53.76,59.62,60.65,61.11,60.72,56.27,61.38,58.01,58.03,58.36,53.25,54.33,59.09,59.66,56.96,60.46,56.87,63.34,61.58,60.52,60.28,60.41,59.21,56.66,57.8,58.56,62.48,58.6,56.34,57.96,58.71,53.42,59.81,56.29,55.81,59.15,53.94,58.83,62.54,57.13,55.26,58.06,57.4,54.99,52.16,55.62,60.96,58.53,53.8,52.25,55.44,57.97,52.34,58.99,56.05,53.71,51.55,58.35,53.72,56.19,51.77,54.89,52.83,54.43,54.64,57.18,55.3,52.09,52.54,51.26,57.25,54.51,50.66,54.45,53.99,50.78,48.81,52.02,50.7,51.06,53.16,56.47,56.13,50.27,50.79,48.47,48.67,51.8,51.61,52.83,54.04,53.9,51.99,52.14,49.51,53.03,50.02,54.23,46.77,54.8,50.25,54.97,54.67,52.94,51.63,46.92,50.94,49.42,52.42,47.77,51.14,49.46,47.84,48.94,51.6,49.98,49.29,49.37,46.48,49.09,46.44,52.12,54.28,48.85,51.96,50.21,50.85,45.76,48.49,50.27,44.26,45.65,44.33,48.04,46.48,47.98
308,56.57,57.46,56.24,58.35,60.41,58.02,61.17,58.31,59.85,60.55,61.26,59.43,58.12,60.18,60.79,57.32,57.13,56.24,56.57,54.46,56.24,58.77,59.34,57.46,56.05,58.63,57.18,56.34,55.12,61.4,56.52,56.99,62.43,55.02,61.78,59.81,57.6,54.65,54.74,57.46,57.41,53.76,58.02,56.24,53.42,58.16,59.38,60.04,59.95,55.49,60.18,57.32,57.46,58.16,52.35,53.99,57.93,58.45,55.96,58.82,56.24,61.78,60.74,59.29,59.43,59.43,57.84,56.61,56.66,57.74,60.93,58.07,56.05,56.94,57.88,53.75,58.63,55.58,55.82,58.44,52.86,57.88,61.45,56.33,54.41,57.69,56.43,53.24,51.74,54.27,59.81,57.46,52.77,51.41,54.83,57.04,52.16,58.16,54.65,53.05,50.8,56.99,53.1,55.82,50.61,53.43,52.02,53.8,53.43,55.73,54.74,51.13,51.69,50.56,56.24,53.38,49.77,53.94,52.26,49.67,49.01,51.6,50.05,50.99,52.67,55.02,54.27,49.63,49.77,47.28,47.84,50.85,49.25,52.02,53.71,53.61,50.29,51.5,49.58,52.63,48.64,53.19,46.72,53.71,49.49,54.08,53.66,51.88,51.45,45.97,50.98,49.86,50.71,46.67,50.56,48.17,47.28,48.03,51.22,49.34,48.83,49.48,45.45,48.27,45.12,51.41,52.54,48.31,51.08,49.16,50.24,44.66,47.42,49.63,44.79,44.84,43.3,46.86,45.45,47.42
309,55.85,56.01,54.86,57.56,60.05,57.32,59.7,56.97,58.87,59.93,59.87,59.08,56.99,59.23,59.75,56.0,55.52,56.86,55.35,53.77,54.86,58.22,57.02,56.39,56.01,57.58,55.61,55.03,53.63,59.26,56.51,56.39,60.57,54.33,60.34,58.28,55.53,52.87,54.3,57.02,55.8,52.46,57.95,55.11,53.09,56.71,58.11,58.97,59.17,54.7,58.98,56.63,56.89,57.96,51.45,53.65,56.77,57.23,54.96,57.18,55.61,60.21,59.91,58.06,58.58,58.45,56.47,56.56,55.52,56.92,59.38,57.53,55.76,55.92,57.06,54.08,57.46,54.88,55.82,57.73,51.79,56.93,60.35,55.53,53.56,57.33,55.46,51.49,51.31,52.92,58.65,56.39,51.74,50.57,54.23,56.1,51.97,57.33,53.25,52.39,50.05,55.64,52.48,55.45,49.45,51.97,51.21,53.17,52.22,54.27,54.18,50.17,50.85,49.86,55.23,52.25,48.87,53.43,50.52,48.57,49.22,51.17,49.4,50.91,52.19,53.58,52.42,48.98,48.75,46.09,47.02,49.89,46.9,51.21,53.37,53.32,48.58,50.87,49.65,52.23,47.26,52.15,46.67,52.62,48.72,53.2,52.66,50.82,51.28,45.01,51.03,50.3,49.0,45.58,49.99,46.89,46.72,47.12,50.84,48.71,48.37,49.6,44.42,47.44,43.81,50.69,50.8,47.78,50.2,48.11,49.62,43.55,46.36,48.98,45.32,44.03,42.26,45.68,44.42,46.86
310,55.13,54.57,53.47,56.77,59.68,56.62,58.23,55.63,57.88,59.31,58.49,58.73,55.87,58.28,58.7,54.68,53.92,57.49,54.13,53.09,53.47,57.68,54.71,55.32,55.97,56.54,54.04,53.73,52.14,57.12,56.51,55.79,58.7,53.63,58.9,56.75,53.45,51.1,53.86,56.57,54.19,51.16,57.87,53.98,52.76,55.25,56.84,57.9,58.39,53.92,57.78,55.94,56.32,57.76,50.55,53.31,55.61,56.02,53.95,55.55,54.98,58.65,59.08,56.84,57.72,57.47,55.1,56.51,54.38,56.09,57.84,57.0,55.47,54.91,56.23,54.42,56.29,54.18,55.83,57.02,50.71,55.98,59.25,54.73,52.71,56.97,54.49,49.74,50.88,51.57,57.5,55.32,50.71,49.73,53.62,55.16,51.79,56.5,51.85,51.73,49.31,54.28,51.86,55.07,48.29,50.5,50.4,52.54,51.01,52.81,53.61,49.21,50.0,49.16,54.23,51.13,47.98,52.93,48.79,47.47,49.43,50.75,48.75,50.83,51.7,52.13,50.57,48.34,47.72,44.91,46.2,48.93,44.55,50.4,53.03,53.03,46.88,50.24,49.72,51.83,45.88,51.11,46.62,51.53,47.95,52.31,51.65,49.76,51.11,44.06,51.08,50.74,47.29,44.48,49.41,45.6,46.16,46.22,50.47,48.07,47.91,49.71,43.39,46.61,42.49,49.98,49.06,47.24,49.33,47.05,49.01,42.45,45.29,48.34,45.85,43.22,41.22,44.5,43.39,46.3
311,54.83,54.39,53.1,56.42,59.05,56.14,57.98,55.2,56.85,59.17,58.25,58.83,56.33,57.7,58.32,53.73,53.75,57.64,53.81,52.76,53.44,57.68,54.46,55.13,56.15,55.87,53.78,53.78,52.26,56.76,56.35,55.57,58.63,54.09,59.04,56.83,52.65,50.55,54.5,55.9,53.02,50.72,57.02,53.78,52.83,55.31,56.66,57.5,58.18,54.26,57.64,56.29,56.18,57.54,50.8,53.17,55.85,56.33,53.54,55.86,54.59,58.35,58.79,56.94,57.57,57.72,54.07,56.9,54.15,56.53,56.68,56.48,55.3,54.21,56.15,53.97,55.91,54.19,56.09,57.52,51.6,55.67,58.75,54.56,52.39,56.83,54.8,50.58,51.38,50.99,56.65,54.68,51.15,49.99,53.2,55.48,51.71,56.04,52.78,51.68,49.79,54.26,51.19,54.69,48.6,49.6,49.8,52.8,50.83,52.83,53.44,49.79,50.02,49.21,53.01,50.79,48.47,52.97,48.04,47.48,50.2,50.21,48.77,50.69,52.06,51.91,50.84,48.01,47.3,45.73,46.95,48.28,44.53,50.53,52.83,52.14,46.56,49.74,49.88,50.88,46.44,50.83,46.56,50.89,47.68,51.91,50.96,49.4,51.03,44.33,50.79,50.87,47.62,44.32,49.79,45.65,46.47,45.46,50.01,48.4,48.02,49.64,43.52,46.49,43.15,49.43,48.52,47.41,48.72,46.97,48.76,42.71,44.9,47.32,45.99,43.93,40.79,44.22,43.41,46.46
312,54.6,54.45,52.91,56.15,58.38,55.71,57.96,54.93,55.8,59.11,58.23,59.02,57.09,57.19,58.05,52.85,53.85,57.71,53.67,52.49,53.67,57.78,54.6,55.12,56.38,55.28,53.76,54.09,52.69,56.74,56.17,55.43,58.9,54.77,59.47,57.23,52.1,50.25,55.35,55.19,51.93,50.46,56.01,53.76,52.98,55.66,56.68,57.24,58.08,54.82,57.71,56.85,56.12,57.31,51.28,53.07,56.37,56.93,53.23,56.54,54.24,58.29,58.61,57.29,57.56,58.19,53.1,57.38,54.09,57.21,55.59,55.97,55.16,53.57,56.22,53.38,55.69,54.33,56.4,58.24,52.85,55.49,58.37,54.5,52.16,56.73,55.36,51.92,52.06,50.56,55.85,54.13,51.87,50.46,52.81,56.04,51.65,55.65,54.16,51.74,50.51,54.48,50.51,54.3,49.2,48.8,49.25,53.24,50.85,53.14,53.34,50.68,50.2,49.39,51.76,50.61,49.23,53.11,47.49,47.7,51.08,49.66,48.91,50.55,52.57,51.94,51.52,47.75,46.99,46.94,48.0,47.68,44.96,50.84,52.64,51.13,46.5,49.27,50.07,49.83,47.36,50.68,46.5,50.33,47.49,51.6,50.32,49.18,50.97,44.84,50.44,50.93,48.34,44.34,50.34,45.96,46.94,44.74,49.54,48.91,48.25,49.54,43.86,46.51,44.2,48.92,48.21,47.72,48.17,47.07,48.57,43.22,44.63,46.23,46.05,44.94,40.48,44.12,43.64,46.77
313,54.38,54.52,52.73,55.89,57.71,55.29,57.95,54.67,54.75,59.05,58.22,59.21,57.86,56.68,57.79,51.97,53.95,57.77,53.53,52.23,53.9,57.89,54.75,55.1,56.61,54.68,53.74,54.4,53.13,56.72,55.99,55.29,59.17,55.45,59.91,57.62,51.54,49.94,56.19,54.47,50.84,50.19,55.01,53.74,53.12,56.01,56.71,56.97,57.98,55.37,57.77,57.41,56.07,57.09,51.75,52.96,56.89,57.53,52.92,57.22,53.89,58.24,58.43,57.64,57.54,58.67,52.14,57.85,54.03,57.9,54.5,55.46,55.02,52.94,56.28,52.78,55.46,54.48,56.71,58.96,54.1,55.31,57.98,54.44,51.94,56.63,55.92,53.25,52.74,50.13,55.05,53.58,52.59,50.94,52.42,56.6,51.59,55.27,55.54,51.8,51.23,54.71,49.84,53.91,49.79,47.99,48.69,53.67,50.87,53.45,53.24,51.56,50.39,49.58,50.51,50.42,49.99,53.26,46.93,47.93,51.97,49.1,49.05,50.41,53.09,51.96,52.2,47.48,46.68,48.15,49.04,47.09,45.39,51.15,52.46,50.12,46.43,48.79,50.25,48.79,48.29,50.54,46.43,49.78,47.3,51.29,49.68,48.95,50.91,45.35,50.09,50.99,49.06,44.36,50.9,46.26,47.41,44.02,49.06,49.42,48.47,49.44,44.21,46.53,45.25,48.4,47.9,48.03,47.61,47.17,48.39,43.73,44.36,45.14,46.11,45.94,40.17,44.01,43.86,47.08
314,53.93,54.36,52.12,55.72,57.06,54.51,57.43,54.03,53.91,58.45,57.9,58.94,57.72,56.21,57.47,51.08,53.86,56.64,53.23,52.12,53.84,57.5,54.87,54.66,56.15,53.96,53.61,53.94,53.07,56.32,55.49,55.1,58.63,55.2,59.68,57.64,51.35,50.06,56.04,53.71,50.71,50.13,54.16,53.5,52.7,55.65,56.54,56.59,57.69,54.94,57.51,57.25,55.58,56.57,51.81,52.71,56.66,57.73,52.27,56.77,53.74,57.75,57.82,57.36,57.2,58.18,51.3,57.78,53.99,58.12,53.75,54.92,54.74,52.35,56.16,52.37,54.99,53.92,56.22,58.78,54.14,55.16,57.14,53.83,51.74,56.38,55.57,53.61,52.54,50.26,54.19,52.86,52.39,50.78,51.64,56.22,51.21,54.83,55.59,51.48,51.29,54.0,49.33,53.2,49.76,47.53,48.01,52.96,50.9,53.37,52.72,51.61,50.08,48.92,49.91,50.32,49.77,52.97,46.64,48.13,51.61,48.16,48.75,49.66,52.62,51.63,52.48,47.08,46.31,48.28,48.96,46.8,45.71,50.46,51.89,49.27,45.9,48.21,49.73,48.11,48.35,50.1,46.24,49.03,47.01,50.67,49.61,48.52,50.51,45.24,49.39,50.32,49.07,44.52,50.43,45.83,47.24,43.54,48.68,49.16,48.1,49.37,44.56,46.66,45.35,47.67,47.51,47.48,46.97,47.08,47.94,43.85,43.69,44.7,45.43,45.96,40.43,43.55,43.74,46.79
