time_s,energy_J,cum_MJ/m2,cum_klux_hr,dE76,dE00,dR,dR_VIS,L*,a*,b*,C*,h
0.0,0.0+/-0,0.0,0.0,0.0,0.0,0.0,0.0,73.05,12.38,83.97,84.88,81.61
21.555,0.4383+/-0.0004,0.15510978,9.4752367125,0.56,0.23,0.55,0.34,73.0,11.97,83.6,84.45,81.85
41.481,0.8435+/-0.0007,0.298497276,18.2343908175,0.61,0.26,0.49,0.39,72.97,11.91,83.6,84.45,81.89
61.753,1.2557+/-0.0010,0.444374588,27.1456410442,0.58,0.26,0.48,0.3,73.1,11.9,83.65,84.5,81.9
81.72,1.6618+/-0.0014,0.58805712,35.9228181,0.63,0.28,0.64,0.32,73.11,11.88,83.59,84.43,81.91
101.615,2.0663+/-0.0017,0.73122154,44.6683450958,0.57,0.3,0.32,0.25,73.19,11.87,83.76,84.6,81.94
121.497,2.4706+/-0.0021,0.874292412,53.4081574975,0.61,0.35,0.6,0.24,73.33,11.87,83.78,84.62,81.93
141.395,2.8753+/-0.0024,1.01747842,62.1550032458,0.62,0.37,0.32,0.23,73.34,11.85,83.85,84.68,81.96
161.651,3.2872+/-0.0027,1.163240596,71.0592201258,0.64,0.37,0.34,0.24,73.34,11.83,83.83,84.66,81.97
181.537,3.6916+/-0.0031,1.306340252,79.8007908642,0.67,0.37,0.58,0.26,73.34,11.82,83.73,84.56,81.96
201.413,4.0957+/-0.0034,1.449367948,88.5379657608,0.69,0.38,0.6,0.26,73.33,11.81,83.73,84.55,81.97
221.685,4.508+/-0.004,1.59524526,97.4492159875,0.68,0.38,0.46,0.26,73.33,11.79,83.76,84.59,81.98
241.563,4.912+/-0.004,1.738287348,106.187270052,0.71,0.39,0.54,0.26,73.32,11.78,83.71,84.53,81.99
261.46,5.317+/-0.004,1.88146616,114.933676217,0.73,0.39,0.59,0.28,73.31,11.77,83.67,84.5,81.99
281.369,5.722+/-0.005,2.024731324,123.685357391,0.75,0.39,0.61,0.29,73.31,11.76,83.65,84.47,82.0
301.669,6.134+/-0.005,2.170810124,132.608915974,0.72,0.4,0.36,0.28,73.3,11.74,83.75,84.56,82.02
321.553,6.539+/-0.005,2.313895388,141.349607544,0.74,0.39,0.3,0.29,73.27,11.74,83.69,84.51,82.02
341.401,6.942+/-0.006,2.456721596,150.074474084,0.74,0.4,0.39,0.29,73.29,11.73,83.72,84.54,82.03
361.663,7.354+/-0.006,2.602526948,158.981328469,0.76,0.4,0.34,0.3,73.28,11.72,83.7,84.51,82.03
381.518,7.758+/-0.006,2.745403528,167.709272098,0.76,0.41,0.34,0.3,73.28,11.71,83.7,84.52,82.04
401.379,8.162+/-0.007,2.888323284,176.439853233,0.78,0.41,0.32,0.32,73.27,11.7,83.66,84.47,82.04
421.644,8.574+/-0.007,3.034150224,185.34802637,0.82,0.41,0.6,0.34,73.27,11.7,83.57,84.39,82.03
441.506,8.978+/-0.008,3.177077176,194.079047088,0.81,0.41,0.42,0.33,73.27,11.69,83.62,84.44,82.04
461.37,9.382+/-0.008,3.32001852,202.810946975,0.8,0.42,0.37,0.33,73.26,11.68,83.65,84.46,82.05
