wavelength_nm,00:00:00.000,00:00:21.528,00:00:41.406,00:01:01.692,00:01:21.597,00:01:41.484,00:02:01.753,00:02:21.635,00:02:41.513,00:03:01.811,00:03:21.704,00:03:41.602,00:04:01.496,00:04:21.821,00:04:41.713,00:05:01.614,00:05:21.488,00:05:41.804,00:06:01.686,00:06:21.576,00:06:41.466,00:07:01.745,00:07:21.630,00:07:41.542,00:08:01.430,00:08:21.702,00:08:41.572,00:09:01.443,00:09:21.709,00:09:41.581,00:10:01.491,00:10:21.749,00:10:41.614,00:11:01.479,00:11:21.746,00:11:41.601,00:12:01.469,00:12:21.731,00:12:41.586,00:13:01.454,00:13:21.722,00:13:41.588,00:14:01.440,00:14:21.709,00:14:41.577,00:15:01.443,00:15:21.720,00:15:41.590,00:16:01.473,00:16:21.731,00:16:41.604,00:17:01.469,00:17:21.728,00:17:41.589,00:18:01.450,00:18:21.713,00:18:41.576,00:19:01.439,00:19:21.693,00:19:41.557,00:20:01.429,00:20:21.709,00:20:41.573,00:21:01.423,00:21:21.694,00:21:41.554,00:22:01.405,00:22:21.662,00:22:41.521,00:23:01.388,00:23:21.654,00:23:41.508,00:24:01.773,00:24:21.634,00:24:41.505,00:25:01.772,00:25:21.636,00:25:41.502,00:26:01.771,00:26:21.635,00:26:41.492,00:27:01.760,00:27:21.624,00:27:41.488,00:28:01.759,00:28:21.617,00:28:41.476,00:29:01.734,00:29:21.602,00:29:41.482,00:30:01.753,00:30:21.619,00:30:41.475,00:31:01.746,00:31:21.599,00:31:41.464,00:32:01.724,00:32:21.578,00:32:41.461,00:33:01.724,00:33:21.586,00:33:41.458,00:34:01.721,00:34:21.580,00:34:41.432,00:35:01.697,00:35:21.568,00:35:41.427,00:36:01.690,00:36:21.551,00:36:41.417,00:37:01.681,00:37:21.541,00:37:41.403,00:38:01.675,00:38:21.537,00:38:41.402,00:39:01.657,00:39:21.518,00:39:41.383,00:40:01.647,00:40:21.515,00:40:41.783,00:41:01.646,00:41:21.512,00:41:41.776,00:42:01.639,00:42:21.500,00:42:41.766,00:43:01.625,00:43:21.489,00:43:41.750,00:44:01.621,00:44:21.485,00:44:41.756,00:45:01.629,00:45:21.480,00:45:41.738,00:46:01.610,00:46:21.470,00:46:41.741,00:47:01.608,00:47:21.468,00:47:41.729,00:48:01.589,00:48:21.458,00:48:41.725,00:49:01.577,00:49:21.444,00:49:41.721,00:50:01.579,00:50:21.444,00:50:41.723,00:51:01.580,00:51:21.443,00:51:41.709,00:52:01.568,00:52:21.429,00:52:41.691,00:53:01.549,00:53:21.413,00:53:41.681,00:54:01.539,00:54:21.397,00:54:41.659,00:55:01.527,00:55:21.391,00:55:41.652,00:56:01.506,00:56:21.770,00:56:41.638,00:57:01.507,00:57:21.768,00:57:41.626,00:58:01.492,00:58:21.753,00:58:41.619,00:59:01.482,00:59:21.742,00:59:41.61
305,47.31,46.64,48.25,48.34,52.22,50.18,49.22,47.86,47.42,51.67,49.33,49.21,51.74,50.28,48.88,53.41,48.3,53.83,49.89,51.17,54.15,54.12,55.39,56.1,55.88,55.61,55.69,53.25,52.18,55.34,54.43,52.23,52.3,57.59,54.26,52.69,59.06,52.32,52.61,52.71,56.59,57.84,58.83,53.01,55.07,57.67,59.14,56.49,58.56,55.14,53.17,53.83,58.27,56.58,57.34,55.1,58.58,54.6,54.25,53.51,62.05,59.76,57.61,62.06,60.41,54.43,55.17,56.03,55.46,56.88,56.78,56.55,55.18,54.23,59.0,56.82,57.68,56.44,60.13,56.77,61.59,58.33,56.93,61.18,60.88,60.68,59.24,55.93,59.48,55.64,58.84,62.76,55.83,60.67,59.03,63.94,61.07,62.89,62.38,58.5,63.45,61.62,61.69,62.5,61.45,63.21,61.9,58.11,63.83,61.09,64.07,64.95,63.9,59.63,57.78,61.81,61.91,63.99,61.23,57.94,62.84,61.56,58.84,64.74,60.17,62.01,60.92,59.56,57.32,63.61,60.82,58.8,60.82,64.36,60.54,65.39,59.64,63.44,63.16,65.58,64.58,63.22,64.05,59.53,61.99,63.79,65.42,60.81,60.87,61.88,62.34,61.55,61.57,62.07,62.6,64.54,65.69,63.05,62.88,67.2,61.55,62.97,64.63,64.05,63.21,61.96,65.58,66.2,64.04,61.37,63.5,64.99,60.09,65.92,61.9,64.13,63.61,65.35,66.32,61.49
306,46.57,46.04,46.78,47.44,51.14,49.66,46.85,46.53,46.17,50.51,48.12,47.91,49.92,49.63,48.45,52.76,46.58,51.89,48.38,50.35,53.41,53.85,54.14,56.22,54.67,54.7,54.73,52.38,50.28,54.34,53.01,51.45,51.87,56.38,53.0,51.43,56.29,51.11,51.71,52.36,55.76,56.8,58.17,52.58,53.99,55.42,58.01,56.1,56.83,54.1,51.66,52.88,56.54,54.76,55.65,53.54,56.76,53.08,54.37,52.73,61.65,59.06,57.0,60.28,60.36,53.69,54.65,54.81,54.24,55.67,55.39,55.9,54.27,53.45,57.87,55.56,56.73,54.62,58.39,56.08,60.67,57.33,55.15,60.18,59.96,60.02,57.98,54.16,57.78,54.56,57.11,61.37,54.19,58.72,57.43,62.68,60.59,61.89,61.42,57.72,62.15,60.23,60.64,60.64,59.85,61.73,61.2,57.15,62.09,59.83,63.2,63.99,63.5,58.55,56.69,60.54,60.82,62.85,61.35,57.46,61.41,61.12,57.8,63.74,59.25,59.8,59.14,57.82,56.71,62.91,60.17,57.93,59.17,62.8,58.89,64.04,58.85,62.22,61.55,63.66,63.66,62.35,62.96,58.27,61.55,62.91,64.59,59.55,60.34,61.95,61.25,59.81,59.75,60.9,61.98,63.49,64.94,61.96,61.27,65.03,60.5,60.93,63.84,62.27,61.73,60.31,64.66,65.03,62.65,59.81,62.63,63.16,59.21,64.05,61.2,63.68,62.22,64.17,65.61,58.71
307,45.97,45.67,45.55,46.7,50.21,49.28,44.82,45.36,45.15,49.49,47.1,46.76,48.38,49.08,48.01,52.22,45.24,50.24,46.98,49.79,52.86,53.55,53.0,56.27,53.66,53.77,53.87,51.58,48.63,53.56,51.63,50.85,51.44,55.3,51.93,50.25,53.84,50.1,50.95,52.08,55.02,55.79,57.54,52.28,53.0,53.54,56.92,55.77,55.37,53.24,50.47,52.01,55.12,53.34,54.25,52.28,55.29,51.78,54.53,52.1,61.12,58.49,56.51,58.74,60.27,53.12,54.31,53.76,53.32,54.63,54.18,55.39,53.43,52.86,56.88,54.44,55.86,53.06,56.96,55.52,59.87,56.48,53.72,59.31,59.12,59.56,56.92,52.77,56.35,53.73,55.66,60.2,52.91,57.1,56.13,61.58,60.09,61.04,60.59,56.93,61.07,59.03,59.75,59.11,58.5,60.52,60.59,56.35,60.57,58.68,62.45,63.05,63.12,57.57,55.86,59.47,59.97,61.85,61.27,57.04,60.2,60.93,56.85,62.75,58.49,57.88,57.76,56.39,56.21,62.32,59.69,57.33,57.64,61.42,57.46,62.87,58.29,61.04,60.15,62.03,62.7,61.68,62.08,57.22,61.16,62.22,63.86,58.44,59.84,62.01,60.23,58.36,58.13,59.94,61.25,62.52,64.28,61.05,59.95,63.15,59.62,59.08,63.18,60.7,60.41,58.82,63.81,64.05,61.36,58.43,61.94,61.53,58.53,62.35,60.53,63.26,61.0,63.26,64.9,56.32
308,46.16,46.75,45.78,47.01,50.16,49.71,44.88,45.2,45.55,49.41,47.19,46.47,48.47,49.08,47.55,52.29,46.28,50.41,46.27,50.86,53.44,52.98,52.61,55.82,53.86,52.73,53.56,51.19,48.51,54.05,50.61,51.31,51.05,55.07,51.96,49.48,53.31,50.31,51.16,52.2,54.84,55.01,57.05,52.78,52.61,53.91,56.04,55.84,55.61,53.53,51.28,51.67,55.66,54.35,54.62,52.78,55.95,51.77,54.85,52.35,59.81,58.67,56.79,58.67,59.98,53.58,55.1,53.66,54.21,54.7,54.08,55.75,53.03,53.49,56.73,54.17,55.54,53.1,57.36,55.84,59.75,56.54,54.34,59.23,58.75,60.3,57.07,53.79,56.5,54.44,55.99,60.37,53.88,57.55,56.7,61.45,59.5,61.13,60.51,56.14,61.42,59.0,59.8,59.63,58.72,61.0,60.56,56.5,60.36,58.18,62.5,62.28,62.86,57.29,56.56,59.52,60.58,61.69,59.95,57.06,60.42,62.3,56.48,61.85,58.67,57.82,58.8,56.84,56.36,62.4,60.29,58.37,56.85,61.21,57.44,62.87,59.07,60.15,59.99,62.12,61.46,62.28,62.51,57.45,61.12,62.6,63.77,58.29,59.51,61.92,59.64,58.63,57.76,60.33,59.85,62.05,64.14,61.22,60.38,63.06,59.71,58.41,63.3,60.41,60.07,58.32,63.43,64.35,60.68,58.19,62.37,61.11,58.97,61.67,60.07,63.01,60.84,64.03,64.12,56.26
309,46.34,47.83,46.01,47.32,50.12,50.14,44.94,45.05,45.95,49.32,47.29,46.18,48.56,49.08,47.09,52.37,47.32,50.58,45.55,51.93,54.03,52.42,52.22,55.37,54.06,51.69,53.24,50.8,48.38,54.55,49.58,51.78,50.66,54.84,52.0,48.71,52.79,50.53,51.37,52.32,54.65,54.22,56.55,53.28,52.22,54.28,55.17,55.9,55.84,53.82,52.09,51.32,56.2,55.37,54.99,53.28,56.61,51.77,55.18,52.59,58.49,58.86,57.06,58.59,59.69,54.04,55.9,53.56,55.09,54.77,53.98,56.12,52.64,54.12,56.58,53.9,55.22,53.13,57.76,56.17,59.63,56.61,54.97,59.16,58.38,61.03,57.21,54.8,56.65,55.15,56.31,60.55,54.85,57.99,57.28,61.33,58.91,61.22,60.43,55.35,61.76,58.97,59.86,60.15,58.95,61.47,60.52,56.65,60.16,57.68,62.54,61.51,62.61,57.01,57.27,59.57,61.18,61.52,58.63,57.08,60.64,63.67,56.12,60.96,58.86,57.75,59.83,57.29,56.51,62.49,60.9,59.41,56.05,61.0,57.41,62.87,59.85,59.26,59.82,62.21,60.23,62.88,62.94,57.68,61.08,62.99,63.68,58.13,59.18,61.84,59.05,58.9,57.39,60.73,58.45,61.58,64.01,61.4,60.82,62.97,59.81,57.74,63.43,60.11,59.74,57.82,63.04,64.64,60.0,57.95,62.79,60.69,59.41,60.99,59.61,62.75,60.67,64.79,63.35,56.19
310,46.52,48.91,46.24,47.63,50.08,50.56,45.0,44.89,46.35,49.24,47.38,45.9,48.65,49.09,46.63,52.45,48.36,50.75,44.84,52.99,54.62,51.85,51.82,54.92,54.26,50.66,52.93,50.41,48.26,55.05,48.55,52.25,50.27,54.61,52.03,47.94,52.26,50.74,51.58,52.44,54.46,53.43,56.06,53.79,51.82,54.65,54.29,55.97,56.08,54.1,52.89,50.97,56.74,56.38,55.36,53.79,57.28,51.76,55.5,52.84,57.17,59.04,57.34,58.52,59.4,54.5,56.69,53.46,55.98,54.84,53.88,56.48,52.24,54.75,56.42,53.63,54.9,53.16,58.16,56.49,59.51,56.67,55.6,59.08,58.01,61.77,57.36,55.82,56.8,55.86,56.63,60.73,55.82,58.44,57.85,61.2,58.32,61.31,60.35,54.56,62.11,58.94,59.91,60.68,59.18,61.95,60.48,56.8,59.95,57.18,62.58,60.74,62.35,56.73,57.97,59.63,61.79,61.35,57.31,57.1,60.86,65.04,55.75,60.06,59.04,57.68,60.87,57.73,56.66,62.57,61.51,60.45,55.26,60.79,57.39,62.87,60.63,58.37,59.66,62.29,58.99,63.48,63.36,57.91,61.05,63.37,63.59,57.97,58.84,61.76,58.46,59.17,57.02,61.12,57.05,61.12,63.88,61.58,61.25,62.88,59.9,57.07,63.55,59.82,59.41,57.32,62.65,64.93,59.32,57.7,63.22,60.26,59.85,60.31,59.15,62.49,60.5,65.56,62.57,56.13
311,46.98,48.03,45.61,46.84,49.85,49.48,44.88,44.71,45.93,49.51,47.06,45.37,48.95,47.56,46.04,52.25,48.48,49.98,45.33,53.07,53.82,51.26,50.89,54.47,53.9,50.06,51.59,49.48,47.33,54.28,48.09,52.18,49.96,54.62,51.1,47.85,52.19,51.25,51.4,52.03,54.44,52.66,56.25,53.12,51.51,54.54,53.15,55.52,55.52,53.22,52.67,51.13,56.19,56.05,55.61,53.88,57.59,51.4,54.49,52.46,56.91,58.63,57.08,58.35,58.58,53.97,56.3,53.49,56.1,53.96,53.92,55.87,52.55,54.47,55.59,53.67,54.4,53.28,57.38,56.05,59.01,56.34,54.99,58.23,57.32,60.87,57.48,56.25,57.53,56.18,56.74,60.32,55.92,57.59,57.79,60.71,58.4,60.2,60.26,53.97,61.37,59.03,59.22,60.18,59.64,61.44,59.35,57.06,59.4,57.16,61.83,60.29,61.84,56.05,58.15,59.99,61.01,60.16,56.94,57.41,60.61,64.36,55.89,59.62,58.63,57.18,60.38,58.66,57.1,62.59,61.17,59.27,55.29,60.54,57.77,61.93,60.07,58.03,59.01,61.8,58.82,63.03,62.71,57.93,60.82,62.57,62.78,58.01,58.67,61.16,57.92,58.91,56.55,60.74,57.49,60.46,63.35,61.64,61.07,63.27,60.02,57.02,63.03,59.44,59.31,57.37,61.72,64.59,59.71,57.76,62.53,60.55,59.69,60.48,59.28,61.98,60.47,64.75,62.34,56.24
312,47.48,46.78,44.82,45.84,49.59,48.1,44.74,44.52,45.36,49.86,46.67,44.79,49.29,45.75,45.42,52.0,48.43,49.03,46.04,52.95,52.76,50.66,49.87,54.01,53.44,49.54,50.05,48.45,46.25,53.26,47.74,52.02,49.66,54.68,49.99,47.89,52.19,51.81,51.15,51.53,54.46,51.9,56.57,52.23,51.21,54.34,51.95,54.98,54.81,52.11,52.25,51.4,55.44,55.47,55.85,53.89,57.83,50.98,53.21,51.95,56.85,58.1,56.72,58.17,57.67,53.25,55.67,53.55,56.08,52.9,53.97,55.07,52.99,54.01,54.62,53.77,53.85,53.42,56.38,55.47,58.44,55.93,54.15,57.23,56.57,59.66,57.59,56.57,58.37,56.41,56.8,59.8,55.86,56.5,57.6,60.14,58.6,58.86,60.17,53.43,60.42,59.15,58.39,59.48,60.14,60.75,58.01,57.34,58.79,57.23,60.92,59.89,61.27,55.3,58.22,60.41,59.98,58.78,56.75,57.78,60.26,63.29,56.13,59.26,58.1,56.6,59.6,59.68,57.6,62.59,60.65,57.67,55.48,60.27,58.22,60.81,59.24,57.8,58.27,61.19,58.85,62.39,61.85,57.92,60.56,61.53,61.83,58.08,58.53,60.47,57.39,58.56,56.05,60.22,58.29,59.76,62.75,61.68,60.76,63.74,60.14,57.09,62.39,59.04,59.25,57.53,60.68,64.12,60.3,57.87,61.63,60.98,59.42,60.82,59.53,61.42,60.47,63.64,62.21,56.39
313,47.99,45.53,44.03,44.84,49.34,46.72,44.59,44.33,44.79,50.2,46.27,44.22,49.63,43.94,44.81,51.75,48.39,48.09,46.76,52.83,51.7,50.06,48.84,53.55,52.99,49.03,48.5,47.42,45.16,52.25,47.39,51.85,49.36,54.74,48.88,47.92,52.2,52.37,50.9,51.02,54.47,51.13,56.89,51.33,50.92,54.15,50.76,54.44,54.1,51.01,51.83,51.66,54.68,54.89,56.08,53.91,58.07,50.55,51.94,51.44,56.79,57.57,56.35,57.98,56.75,52.53,55.05,53.6,56.06,51.84,54.03,54.28,53.43,53.55,53.65,53.87,53.31,53.56,55.37,54.89,57.87,55.52,53.3,56.22,55.82,58.45,57.7,56.89,59.21,56.65,56.87,59.27,55.79,55.41,57.41,59.58,58.8,57.52,60.07,52.88,59.47,59.26,57.56,58.78,60.65,60.06,56.66,57.62,58.18,57.29,60.02,59.5,60.71,54.54,58.29,60.83,58.94,57.39,56.56,58.15,59.91,62.23,56.36,58.91,57.57,56.03,58.82,60.7,58.09,62.59,60.13,56.07,55.67,60.01,58.68,59.69,58.42,57.57,57.53,60.59,58.88,61.75,60.99,57.9,60.29,60.5,60.89,58.15,58.39,59.78,56.86,58.2,55.56,59.7,59.09,59.07,62.15,61.72,60.45,64.22,60.26,57.15,61.75,58.65,59.2,57.68,59.65,63.66,60.89,57.99,60.73,61.4,59.16,61.15,59.77,60.86,60.46,62.53,62.08,56.55
314,47.77,44.82,43.63,44.27,49.17,45.84,44.49,44.46,44.42,50.33,45.91,44.18,50.07,43.42,43.99,51.55,48.17,47.84,46.75,52.47,50.88,49.67,49.33,53.16,52.83,49.33,47.81,47.01,45.64,51.88,47.62,51.43,49.52,54.82,48.48,48.33,52.92,52.02,50.71,50.55,54.56,51.19,56.73,50.9,50.5,54.44,50.62,54.09,54.16,50.43,51.4,51.29,54.47,54.09,56.32,53.87,58.13,50.85,51.24,51.45,56.63,57.22,56.18,57.96,56.3,51.97,54.33,53.59,55.94,51.24,54.11,54.18,53.47,53.37,53.42,54.06,53.28,53.73,54.97,54.61,58.01,54.99,53.21,55.92,55.96,57.8,57.96,56.7,59.22,56.91,56.58,59.1,55.51,55.04,56.75,59.29,58.63,57.27,59.96,53.35,59.17,59.2,57.32,58.39,60.91,59.65,56.06,57.84,58.29,56.97,59.44,59.65,60.53,54.42,57.92,60.91,57.99,57.13,56.42,57.75,59.93,61.27,56.37,59.15,57.39,56.32,58.04,60.48,57.94,62.69,59.58,55.44,56.25,59.93,58.94,59.27,57.87,58.17,56.89,60.74,58.91,61.45,60.86,57.94,59.79,59.82,60.74,58.27,57.94,59.48,56.8,58.03,55.3,59.08,59.53,58.46,61.86,61.76,60.24,64.57,60.31,57.51,61.57,58.53,59.41,57.77,59.22,63.1,61.19,57.87,59.98,61.46,58.91,61.57,59.86,60.93,60.13,61.88,62.1,56.91
