wavelength_nm,00:00:00.000,00:00:21.495,00:00:41.784,00:01:01.707,00:01:21.632,00:01:41.558,00:02:01.442,00:02:21.730,00:02:41.624,00:03:01.495,00:03:21.771,00:03:41.657,00:04:01.551,00:04:21.412,00:04:41.676,00:05:01.539,00:05:21.405,00:05:41.677,00:06:01.547,00:06:21.398,00:06:41.661,00:07:01.532,00:07:21.798,00:07:41.667,00:08:01.532,00:08:21.795,00:08:41.658,00:09:01.524,00:09:21.795,00:09:41.655,00:10:01.514,00:10:21.779,00:10:41.641,00:11:01.506,00:11:21.777,00:11:41.629,00:12:01.489,00:12:21.754,00:12:41.621,00:13:01.492,00:13:21.943,00:13:41.407,00:14:01.665,00:14:21.523,00:14:41.789,00:15:01.658,00:15:21.523,00:15:41.792,00:16:01.655,00:16:21.528,00:16:41.795,00:17:01.660,00:17:21.522,00:17:41.795,00:18:01.656,00:18:21.517,00:18:41.791,00:19:01.657,00:19:21.526,00:19:41.790,00:20:01.655,00:20:21.523,00:20:41.794,00:21:01.652,00:21:21.506,00:21:41.780,00:22:01.654,00:22:21.523,00:22:41.791,00:23:01.648,00:23:21.516,00:23:41.781,00:24:01.643,00:24:21.504,00:24:41.768,00:25:01.628,00:25:21.489,00:25:41.747,00:26:01.605,00:26:21.465,00:26:41.745,00:27:01.609,00:27:21.492,00:27:41.751,00:28:01.611,00:28:21.494,00:28:41.743,00:29:01.614,00:29:21.502,00:29:41.765,00:30:01.631,00:30:21.488,00:30:41.747,00:31:01.614,00:31:21.480,00:31:41.750,00:32:01.604,00:32:21.476,00:32:41.744,00:33:01.612,00:33:21.475,00:33:41.739,00:34:01.599,00:34:21.459,00:34:41.724,00:35:01.582,00:35:21.437,00:35:41.695,00:36:01.557,00:36:21.417,00:36:41.686,00:37:01.549,00:37:21.417,00:37:41.683,00:38:01.545,00:38:21.401,00:38:41.664,00:39:01.524,00:39:21.788,00:39:41.642,00:40:01.502,00:40:21.771,00:40:41.635,00:41:01.498,00:41:21.765,00:41:41.620,00:42:01.492,00:42:21.760,00:42:41.626,00:43:01.484,00:43:21.751,00:43:41.605,00:44:01.477,00:44:21.748,00:44:41.605,00:45:01.474,00:45:21.742,00:45:41.609,00:46:01.477,00:46:21.732,00:46:41.603,00:47:01.468,00:47:21.732,00:47:41.596,00:48:01.452,00:48:21.721,00:48:41.589,00:49:01.453,00:49:21.728,00:49:41.586,00:50:01.449,00:50:21.717,00:50:41.573,00:51:01.435,00:51:21.696,00:51:41.557,00:52:01.410,00:52:21.682,00:52:41.537,00:53:01.398,00:53:21.682,00:53:41.543,00:54:01.408,00:54:21.676,00:54:41.542,00:55:01.400,00:55:21.666,00:55:41.526,00:56:01.785,00:56:21.647,00:56:41.503,00:57:01.771,00:57:21.631,00:57:41.499,00:58:01.765,00:58:21.624,00:58:41.498,00:59:01.773,00:59:21.638,00:59:41.50
305,53.52,53.5,51.81,52.46,54.76,51.85,49.39,49.56,49.27,52.11,52.41,51.01,49.59,55.54,51.47,52.79,52.51,55.06,50.28,54.61,54.52,52.14,50.66,53.88,56.52,49.95,56.37,51.71,54.89,53.89,49.64,54.24,52.71,48.81,54.58,56.16,51.29,52.51,52.5,51.38,49.89,55.44,51.55,52.51,51.85,52.32,49.22,54.83,54.6,53.61,55.25,51.36,55.6,51.77,57.48,56.27,50.89,54.72,53.06,54.49,52.01,51.37,51.05,49.62,53.33,51.5,54.93,51.42,50.31,54.85,54.64,50.17,51.75,52.46,51.01,54.4,50.93,53.09,55.95,55.16,55.0,54.8,52.44,53.47,50.81,49.45,52.13,50.73,48.7,51.11,53.97,56.85,54.12,52.24,55.22,54.46,52.65,51.16,52.08,53.66,51.18,55.2,55.81,52.54,49.49,49.92,51.5,56.22,50.38,49.47,48.89,51.65,53.99,50.58,54.53,50.51,55.07,49.54,50.94,49.26,49.32,53.63,49.2,51.27,52.05,52.06,53.09,55.18,50.73,50.1,54.36,53.37,55.06,53.73,47.97,55.24,50.5,50.09,50.13,50.62,53.49,52.36,54.29,52.38,51.7,56.09,51.78,56.05,52.93,51.99,48.54,51.51,51.98,52.26,53.66,52.63,52.69,52.67,54.2,50.1,51.07,53.18,51.96,50.42,50.16,50.26,49.86,52.78,50.95,51.78,50.13,49.21,51.16,49.93,55.49,50.5,53.84,54.99,53.9,54.13
306,51.37,52.7,51.47,52.22,53.65,50.82,49.01,48.57,48.81,51.16,51.67,50.21,47.99,54.61,50.72,52.22,52.39,54.98,49.42,53.21,53.62,50.58,50.34,54.43,55.36,49.05,56.11,49.93,53.41,52.36,48.98,53.04,51.81,47.85,53.34,55.56,51.23,52.39,51.2,49.93,49.76,53.89,49.93,50.75,50.82,52.15,48.64,53.68,54.47,52.15,54.03,50.89,55.08,50.41,56.99,55.39,50.38,53.86,52.87,53.38,50.82,50.0,50.0,48.67,53.14,51.4,54.03,50.55,49.66,55.63,53.45,49.97,50.92,51.4,49.76,53.04,49.8,52.29,54.95,54.06,54.06,53.45,52.35,52.83,50.41,47.48,51.47,50.0,49.21,50.48,53.14,56.55,53.21,50.92,54.16,53.14,52.08,49.83,50.48,53.89,50.14,54.67,55.7,51.43,48.09,50.0,50.58,55.22,49.32,48.6,47.89,50.65,53.07,49.93,53.17,49.46,54.91,48.64,50.55,47.61,48.16,52.83,48.33,50.92,51.88,51.81,52.73,53.99,50.38,49.11,53.24,52.12,53.34,52.73,47.24,54.47,49.9,48.74,49.35,50.55,53.14,51.5,53.58,51.43,51.19,55.46,50.79,55.29,53.1,50.96,48.02,51.33,51.4,50.79,52.7,52.59,51.88,52.01,52.8,49.11,50.31,52.7,51.09,49.49,50.41,49.49,49.08,53.04,49.29,50.79,49.35,49.08,49.83,48.74,54.44,48.71,53.0,54.13,53.1,53.58
307,49.65,52.09,51.09,52.11,52.8,49.89,48.81,47.78,48.46,50.49,51.01,49.54,46.82,53.81,50.17,51.85,52.27,54.86,48.77,52.04,52.9,49.2,50.1,54.97,54.34,48.38,55.81,48.35,52.23,51.09,48.55,52.11,51.03,47.16,52.36,54.97,51.16,52.23,50.06,48.76,49.68,52.63,48.61,49.33,50.01,52.03,48.2,52.72,54.39,50.88,52.98,50.51,54.65,49.19,56.54,54.57,50.0,53.18,52.82,52.46,49.91,48.9,49.13,48.04,53.01,51.27,53.34,49.84,49.16,56.32,52.54,49.78,50.14,50.58,48.73,52.01,48.96,51.59,54.01,53.05,53.34,52.33,52.25,52.35,50.16,45.91,50.85,49.54,49.81,50.05,52.48,56.25,52.36,49.72,53.32,52.04,51.72,48.79,49.11,54.11,49.25,54.21,55.49,50.52,46.97,50.14,49.98,54.37,48.47,47.81,47.12,49.82,52.31,49.38,52.09,48.51,54.76,48.01,50.11,46.38,47.26,52.14,47.67,50.64,51.7,51.62,52.39,52.99,50.05,48.32,52.3,51.11,51.86,51.93,46.77,53.84,49.41,47.63,48.77,50.51,52.82,50.86,52.9,50.67,50.73,54.74,49.84,54.5,53.24,50.16,47.75,51.08,50.93,49.69,51.99,52.6,51.35,51.37,51.7,48.26,49.55,52.35,50.32,48.68,50.67,48.76,48.31,53.32,47.93,49.94,48.74,49.04,48.73,47.79,53.55,47.29,52.22,53.37,52.52,53.16
308,50.59,52.69,50.51,52.88,53.52,49.6,49.68,48.25,48.84,51.51,50.84,49.71,48.32,53.87,50.86,52.74,52.17,54.5,49.35,52.27,53.38,48.92,50.35,55.43,54.23,49.13,55.32,47.95,52.88,51.5,49.59,52.88,50.98,48.08,52.92,54.4,51.03,51.84,49.98,49.26,49.89,53.1,49.07,49.99,50.54,52.22,48.71,52.91,54.6,50.71,53.04,50.71,54.79,48.82,56.33,54.13,50.49,53.7,53.66,52.78,50.78,49.44,49.34,49.37,53.23,50.93,53.97,50.21,49.62,56.53,53.38,49.7,49.69,51.28,49.02,53.02,49.91,51.58,53.54,52.57,53.97,52.69,52.03,52.87,50.82,46.79,50.52,50.69,50.92,50.91,52.92,55.92,51.93,49.23,53.79,52.32,52.61,49.54,49.15,54.33,49.29,54.19,54.67,50.76,47.52,50.63,51.29,54.46,48.89,47.45,47.8,49.98,52.5,49.38,52.69,48.28,54.64,49.13,49.41,47.72,47.93,52.13,48.3,50.8,51.48,51.86,52.17,53.09,49.88,48.66,52.41,51.59,51.81,52.37,47.9,54.1,49.62,47.97,49.35,50.71,52.72,51.55,52.34,50.99,50.47,53.52,49.18,53.52,53.18,50.82,48.95,50.37,51.17,50.92,52.83,52.91,52.57,50.79,52.47,48.14,48.82,52.87,50.16,48.65,51.04,48.32,47.58,53.79,48.43,49.98,49.16,49.62,49.07,48.3,53.73,48.17,51.75,53.27,53.24,53.51
309,51.54,53.29,49.93,53.64,54.24,49.32,50.55,48.72,49.22,52.53,50.67,49.87,49.82,53.93,51.56,53.64,52.07,54.14,49.93,52.5,53.85,48.64,50.59,55.89,54.12,49.87,54.83,47.55,53.52,51.9,50.63,53.64,50.94,49.0,53.48,53.84,50.9,51.46,49.89,49.76,50.1,53.58,49.53,50.65,51.07,52.42,49.21,53.1,54.82,50.54,53.11,50.92,54.92,48.46,56.13,53.69,50.98,54.21,54.5,53.09,51.64,49.98,49.55,50.69,53.46,50.59,54.61,50.59,50.08,56.73,54.23,49.62,49.24,51.97,49.32,54.03,50.86,51.57,53.06,52.1,54.61,53.04,51.81,53.39,51.47,47.68,50.18,51.84,52.03,51.77,53.35,55.59,51.51,48.74,54.26,52.59,53.5,50.28,49.2,54.55,49.34,54.16,53.86,51.0,48.07,51.12,52.6,54.56,49.31,47.1,48.47,50.15,52.69,49.39,53.29,48.04,54.53,50.26,48.71,49.06,48.61,52.11,48.93,50.96,51.27,52.09,51.95,53.2,49.72,49.0,52.51,52.08,51.75,52.81,49.03,54.36,49.83,48.32,49.93,50.92,52.62,52.24,51.79,51.32,50.22,52.3,48.53,52.55,53.12,51.47,50.16,49.67,51.41,52.16,53.68,53.22,53.79,50.2,53.24,48.03,48.08,53.39,49.99,48.62,51.4,47.88,46.85,54.26,48.94,50.02,49.58,50.21,49.41,48.8,53.92,49.05,51.28,53.17,53.97,53.86
310,52.49,53.9,49.35,54.41,54.96,49.03,51.42,49.18,49.6,53.56,50.5,50.04,51.32,53.98,52.26,54.53,51.98,53.78,50.52,52.74,54.32,48.35,50.84,56.35,54.01,50.62,54.34,47.15,54.16,52.3,51.66,54.41,50.89,49.92,54.04,53.27,50.77,51.08,49.81,50.26,50.31,54.05,49.99,51.32,51.61,52.61,49.72,53.29,55.04,50.37,53.17,51.12,55.05,48.1,55.92,53.25,51.48,54.72,55.35,53.4,52.5,50.52,49.76,52.02,53.69,50.26,55.24,50.96,50.54,56.94,55.07,49.54,48.79,52.66,49.61,55.05,51.81,51.56,52.58,51.63,55.24,53.39,51.59,53.91,52.13,48.57,49.85,53.0,53.14,52.64,53.79,55.26,51.08,48.25,54.73,52.87,54.39,51.03,49.25,54.77,49.38,54.13,53.04,51.25,48.63,51.61,53.92,54.65,49.73,46.74,49.15,50.31,52.88,49.39,53.9,47.81,54.42,51.38,48.01,50.39,49.28,52.1,49.56,51.12,51.05,52.33,51.73,53.3,49.55,49.34,52.62,52.56,51.7,53.25,50.16,54.63,50.03,48.66,50.52,51.12,52.52,52.93,51.24,51.64,49.97,51.07,47.87,51.58,53.05,52.13,51.36,48.96,51.65,53.39,54.53,53.54,55.01,49.62,54.0,47.92,47.34,53.91,49.82,48.58,51.77,47.43,46.12,54.73,49.45,50.06,50.0,50.79,49.74,49.31,54.1,49.93,50.82,53.06,54.69,54.21
311,53.23,53.83,48.73,53.99,54.25,48.53,50.93,48.87,50.08,53.59,50.16,49.16,51.28,53.97,51.54,54.37,51.86,53.66,50.44,52.4,54.27,48.69,49.7,55.05,53.83,50.16,53.75,46.77,53.82,52.1,51.38,54.26,50.46,49.76,53.13,52.46,49.74,50.46,49.48,50.03,49.89,54.38,49.69,51.46,51.38,51.88,50.04,53.43,55.15,49.82,52.32,50.46,55.36,48.24,54.41,52.46,50.8,55.23,55.32,52.97,52.47,50.16,49.73,52.31,52.97,49.51,54.45,50.6,50.82,56.39,55.05,49.63,48.43,51.88,49.35,54.63,51.76,50.83,52.44,51.21,54.84,52.55,50.31,53.86,52.1,48.85,49.8,52.08,51.83,52.02,53.73,54.32,51.09,48.1,53.81,52.92,54.3,50.35,49.18,54.29,48.94,53.58,52.92,50.66,48.78,51.0,53.41,54.4,50.0,47.58,49.18,50.23,52.53,48.87,53.69,47.87,53.75,51.66,48.04,50.05,49.56,51.86,49.73,51.05,51.09,51.37,52.11,52.73,48.59,49.42,53.1,52.51,51.52,53.29,50.37,53.95,49.62,48.09,50.4,50.28,52.51,52.7,51.01,51.7,49.38,51.02,46.89,51.49,52.7,51.44,50.86,48.22,51.31,53.59,54.37,53.32,54.49,49.7,53.61,48.0,47.81,53.1,49.48,48.26,51.17,47.81,46.28,54.47,48.69,50.21,49.41,49.8,49.14,49.32,53.09,49.03,50.71,52.74,53.91,53.44
312,53.94,53.63,48.11,53.34,53.27,47.99,50.19,48.42,50.57,53.43,49.79,48.09,50.95,53.93,50.55,54.01,51.74,53.59,50.23,51.95,54.11,49.14,48.3,53.41,53.63,49.45,53.14,46.39,53.29,51.77,50.85,53.95,49.97,49.38,51.94,51.6,48.54,49.8,49.11,49.66,49.35,54.68,49.23,51.5,51.01,50.98,50.33,53.56,55.25,49.2,51.29,49.63,55.71,48.49,52.64,51.6,49.89,55.74,55.13,52.4,52.27,49.62,49.64,52.4,52.06,48.68,53.39,50.11,51.07,55.71,54.85,49.75,48.1,50.81,48.98,53.94,51.51,49.97,52.36,50.8,54.23,51.49,48.82,53.71,51.94,49.01,49.8,50.76,50.06,51.11,53.57,53.26,51.17,48.01,52.62,52.92,54.02,49.41,49.1,53.68,48.4,52.93,52.92,49.92,48.86,50.18,52.55,54.08,50.25,48.65,49.1,50.11,52.09,48.25,53.33,47.99,52.97,51.79,48.2,49.39,49.77,51.57,49.81,50.93,51.17,50.17,52.61,52.04,47.47,49.46,53.64,52.35,51.32,53.25,50.42,53.09,49.08,47.34,50.16,49.25,52.51,52.3,50.85,51.7,48.71,51.19,45.86,51.58,52.3,50.49,50.04,47.48,50.86,53.6,54.01,52.99,53.64,49.9,53.01,48.12,48.51,52.03,49.11,47.89,50.39,48.34,46.6,54.07,47.7,50.37,48.62,48.53,48.35,49.24,51.86,47.79,50.67,52.37,52.85,52.46
313,54.65,53.43,47.49,52.69,52.29,47.45,49.45,47.96,51.07,53.28,49.42,47.02,50.63,53.9,49.57,53.64,51.62,53.51,50.03,51.5,53.96,49.59,46.89,51.78,53.43,48.75,52.53,46.01,52.77,51.45,50.31,53.63,49.48,49.01,50.75,50.74,47.34,49.14,48.74,49.28,48.81,54.98,48.78,51.55,50.65,50.07,50.62,53.69,55.35,48.58,50.27,48.81,56.05,48.73,50.88,50.74,48.98,56.25,54.93,51.83,52.07,49.09,49.56,52.48,51.16,47.86,52.33,49.61,51.32,55.02,54.66,49.88,47.77,49.74,48.6,53.25,51.27,49.1,52.29,50.39,53.62,50.42,47.34,53.55,51.78,49.18,49.8,49.45,48.29,50.21,53.41,52.19,51.26,47.93,51.43,52.93,53.74,48.46,49.02,53.08,47.86,52.28,52.93,49.18,48.94,49.36,51.69,53.76,50.5,49.71,49.02,49.99,51.64,47.63,52.96,48.1,52.2,51.92,48.36,48.73,49.97,51.29,49.89,50.81,51.26,48.98,53.11,51.34,46.35,49.5,54.18,52.19,51.12,53.22,50.46,52.24,48.54,46.59,49.91,48.22,52.52,51.89,50.69,51.7,48.05,51.36,44.82,51.67,51.89,49.55,49.22,46.73,50.41,53.61,53.64,52.67,52.78,50.11,52.4,48.24,49.2,50.97,48.74,47.51,49.61,48.87,46.92,53.66,46.71,50.54,47.84,47.25,47.56,49.15,50.63,46.55,50.63,52.01,51.79,51.47
314,54.67,53.43,47.66,52.06,52.22,47.51,48.82,47.88,51.06,53.25,49.74,46.81,50.42,53.58,49.06,53.3,51.9,53.63,49.96,51.15,53.73,50.05,46.38,50.86,53.32,48.78,51.95,46.5,52.53,51.43,49.77,53.22,49.26,48.66,50.43,50.79,47.12,48.83,48.82,49.3,48.76,54.98,48.74,51.51,50.81,49.5,50.52,53.44,55.18,48.4,50.05,48.16,56.02,49.01,50.58,50.7,48.67,56.49,54.42,52.1,52.03,48.75,49.73,52.15,51.02,47.8,51.8,49.2,51.44,54.5,54.63,50.07,47.89,48.98,48.51,53.09,50.75,48.68,52.49,50.41,53.06,50.2,47.07,53.37,51.08,49.48,49.96,48.66,47.21,49.55,53.17,52.12,51.63,48.06,51.29,53.13,53.55,48.21,49.32,52.84,47.7,52.05,52.89,49.25,49.19,48.8,51.59,53.68,50.8,50.02,48.93,50.03,51.61,47.47,53.02,48.13,52.06,51.63,48.25,48.8,50.38,51.28,49.57,50.45,51.21,48.47,53.23,51.68,46.17,49.36,54.52,52.29,51.75,53.36,50.25,51.58,48.18,46.6,50.0,47.86,52.66,51.71,50.56,51.51,47.79,52.05,45.07,52.12,51.3,49.39,48.51,46.78,50.21,53.48,53.61,52.35,52.65,50.3,52.23,48.73,49.67,50.68,48.76,47.75,48.76,49.28,47.15,53.41,46.75,50.54,47.65,46.99,47.6,48.78,50.56,46.09,50.73,51.56,51.48,51.42
