time_s,energy_J,cum_MJ/m2,cum_klux_hr,dE76,dE00,dR,dR_VIS,L*,a*,b*,C*,h
0.0,0.0+/-0,0.0,0.0,0.0,0.0,0.0,0.0,40.49,63.57,-43.93,77.27,325.35
21.495,0.44254+/-0.00028,0.1569135,9.58542059167,0.09,0.03,0.35,0.1,40.46,63.6,-44.01,77.34,325.32
41.784,0.8602+/-0.0005,0.3050232,18.6330408933,0.12,0.08,0.54,0.19,40.4,63.57,-44.02,77.32,325.3
61.707,1.2704+/-0.0008,0.4504611,27.5174481717,0.15,0.09,0.48,0.22,40.4,63.56,-44.06,77.34,325.27
81.632,1.6806+/-0.0011,0.5959136,36.4027473244,0.18,0.11,0.58,0.24,40.39,63.56,-44.08,77.35,325.26
101.558,2.0909+/-0.0013,0.7413734,45.2884924144,0.19,0.11,0.63,0.24,40.38,63.58,-44.09,77.38,325.26
121.442,2.5002+/-0.0016,0.8865266,54.1555081411,0.22,0.1,0.59,0.23,40.4,63.61,-44.13,77.42,325.25
141.73,2.9179+/-0.0018,1.034629,63.2026825056,0.24,0.1,0.57,0.23,40.41,63.62,-44.15,77.44,325.24
161.624,3.3275+/-0.0021,1.1798552,72.0741576044,0.25,0.1,0.59,0.23,40.41,63.64,-44.16,77.46,325.24
181.495,3.7366+/-0.0024,1.3249135,80.9353761472,0.28,0.1,0.56,0.24,40.43,63.65,-44.19,77.49,325.23
201.771,4.1541+/-0.0026,1.4729283,89.977199265,0.3,0.1,0.46,0.22,40.44,63.67,-44.21,77.52,325.23
221.657,4.5635+/-0.0029,1.6180961,98.8451068661,0.33,0.1,0.46,0.2,40.46,63.71,-44.23,77.56,325.23
241.551,4.9731+/-0.0031,1.7633223,107.716581965,0.34,0.1,0.53,0.2,40.46,63.72,-44.24,77.57,325.23
261.412,5.3820+/-0.0034,1.9083076,116.573341136,0.36,0.11,0.48,0.23,40.47,63.72,-44.26,77.58,325.22
281.676,5.799+/-0.004,2.0562348,125.609813007,0.38,0.11,0.48,0.19,40.48,63.75,-44.27,77.61,325.22
301.539,6.208+/-0.004,2.2012347,134.467464052,0.4,0.11,0.47,0.2,40.5,63.76,-44.29,77.63,325.21
321.405,6.617+/-0.004,2.3462565,143.326452908,0.42,0.12,0.45,0.2,40.51,63.78,-44.3,77.65,325.22
341.677,7.034+/-0.004,2.4942421,152.366492277,0.43,0.12,0.44,0.21,40.51,63.78,-44.3,77.66,325.22
361.547,7.444+/-0.005,2.6392931,161.227264883,0.45,0.12,0.41,0.19,40.52,63.81,-44.31,77.69,325.23
381.398,7.852+/-0.005,2.7842054,170.079564681,0.45,0.12,0.48,0.21,40.52,63.81,-44.32,77.69,325.22
401.661,8.269+/-0.005,2.9321253,179.115590615,0.45,0.13,0.44,0.22,40.53,63.81,-44.31,77.69,325.22
421.532,8.679+/-0.005,3.0771836,187.976809158,0.45,0.12,0.42,0.21,40.52,63.82,-44.31,77.69,325.23
