[HEADER]
Format	J&M ASCII Table
Comment	MF.CAL01-Y11.01_HPX1_dye_24mm
Date	18/02/2022 15:48:08
Order	XYY
TechType	UV
NumPoints	256
FirstX	303.56
LastX	1144.49
XType	nm
YType	Transmission
ZType	s
NumSubFile	180
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S 400 VIS/NI
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=155.00
Aver=15
Norm=1
Range=303.6-1144.5 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:21.555	00:00:41.481	00:01:01.753	00:01:21.720	00:01:41.615	00:02:01.497	00:02:21.395	00:02:41.651	00:03:01.537	00:03:21.413	00:03:41.685	00:04:01.563	00:04:21.460	00:04:41.369	00:05:01.669	00:05:21.553	00:05:41.401	00:06:01.663	00:06:21.518	00:06:41.379	00:07:01.644	00:07:21.506	00:07:41.370	00:08:01.639	00:08:21.500	00:08:41.750	00:09:01.607	00:09:21.479	00:09:41.749	00:10:01.608	00:10:21.467	00:10:41.731	00:11:01.596	00:11:21.457	00:11:41.726	00:12:01.585	00:12:21.444	00:12:41.712	00:13:01.580	00:13:21.444	00:13:41.716	00:14:01.584	00:14:21.460	00:14:41.727	00:15:01.583	00:15:21.456	00:15:41.724	00:16:01.582	00:16:21.446	00:16:41.701	00:17:01.566	00:17:21.434	00:17:41.693	00:18:01.556	00:18:21.423	00:18:41.687	00:19:01.550	00:19:21.412	00:19:41.690	00:20:01.550	00:20:21.419	00:20:41.678	00:21:01.542	00:21:21.410	00:21:41.679	00:22:01.548	00:22:21.411	00:22:41.674	00:23:01.532	00:23:21.393	00:23:41.656	00:24:01.518	00:24:21.378	00:24:41.640	00:25:01.505	00:25:21.379	00:25:41.639	00:26:01.498	00:26:21.771	00:26:41.632	00:27:01.502	00:27:21.373	00:27:41.636	00:28:01.499	00:28:21.759	00:28:41.617	00:29:01.475	00:29:21.742	00:29:41.613	00:30:01.481	00:30:21.752	00:30:41.610	00:31:01.471	00:31:21.733	00:31:41.591	00:32:01.451	00:32:21.718	00:32:41.591	00:33:01.462	00:33:21.732	00:33:41.599	00:34:01.466	00:34:21.739	00:34:41.597	00:35:01.462	00:35:21.727	00:35:41.578	00:36:01.432	00:36:21.697	00:36:41.567	00:37:01.439	00:37:21.701	00:37:41.563	00:38:01.437	00:38:21.712	00:38:41.572	00:39:01.448	00:39:21.707	00:39:41.572	00:40:01.441	00:40:21.701	00:40:41.579	00:41:01.437	00:41:21.697	00:41:41.556	00:42:01.422	00:42:21.679	00:42:41.546	00:43:01.399	00:43:21.671	00:43:41.527	00:44:01.387	00:44:21.654	00:44:41.521	00:45:01.389	00:45:21.663	00:45:41.538	00:46:01.416	00:46:21.678	00:46:41.534	00:47:01.392	00:47:21.666	00:47:41.532	00:48:01.383	00:48:21.652	00:48:41.512	00:49:01.383	00:49:21.650	00:49:41.509	00:50:01.361	00:50:21.622	00:50:41.485	00:51:01.748	00:51:21.599	00:51:41.469	00:52:01.732	00:52:21.588	00:52:41.460	00:53:01.724	00:53:21.588	00:53:41.449	00:54:01.719	00:54:21.606	00:54:41.465	00:55:01.731	00:55:21.591	00:55:41.456	00:56:01.728	00:56:21.595	00:56:41.474	00:57:01.750	00:57:21.614	00:57:41.479	00:58:01.746	00:58:21.607	00:58:41.464	00:59:01.740	00:59:21.610	00:59:41.475
303.56	60.639774	63.560516	60.500694	62.865086	63.421406	59.248943	63.282322	59.666218	63.83868	61.474289	64.116837	63.143246	61.057014	64.812241	62.586929	62.308765	63.143246	57.719063	60.222538	59.80529	62.169682	62.726002	64.25592	60.36161	60.222538	61.891525	58.692623	62.865086	59.666218	63.699596	59.666218	63.699596	66.203072	60.083454	65.507629	63.421406	63.143246	61.196095	59.109859	60.36161	63.004166	59.527134	61.752445	59.109859	59.109859	63.699596	63.143246	65.368561	62.586929	62.308765	64.116837	62.865086	61.474289	62.030609	58.414467	58.275383	63.421406	64.673157	62.030609	63.143246	61.752445	65.507629	63.143246	65.785828	67.037544	63.143246	61.752445	64.116837	60.222538	63.282322	64.394997	61.891525	60.083454	60.36161	62.169682	59.80529	64.812241	59.109859	61.335175	62.726002	56.328232	61.752445	63.282322	63.004166	58.970787	59.666218	61.057014	59.388054	56.189148	61.057014	60.639774	59.248943	58.692623	57.162712	57.719063	62.308765	56.884552	60.917931	61.752445	56.328232	56.606396	60.639774	55.215591	56.328232	57.162712	57.023632	54.381084	58.136303	61.196095	61.335175	59.944374	55.354671	53.824764	53.824764	57.858147	58.414467	55.910992	55.354671	55.910992	57.440903	53.40752	54.659241	55.215591	52.433933	55.771912	59.109859	59.388054	54.937397	52.294849	53.40752	53.824764	53.824764	54.659241	57.579983	56.745468	56.745468	53.268444	52.71209	54.242004	53.96384	54.242004	58.831703	50.486778	56.467312	55.076481	56.745468	56.189148	56.745468	57.301826	52.433933	54.937397	54.102921	58.136303	51.321293	53.824764	55.215591	53.268444	50.764942	53.685684	53.268444	52.294849	53.685684	51.877613	54.102921	50.904018	52.016693	55.493755	51.460373	53.96384	54.798325	52.71209	51.321293	49.652298	54.520161	48.261471	49.095978	51.182209	50.069542	50.486778	54.102921
306.86	57.388813	59.110481	57.819218	59.253948	60.832119	58.823509	62.840729	59.827827	60.975586	61.262558	62.840729	59.827827	59.397419	61.262558	61.979908	58.823509	58.96701	55.52367	57.962692	55.236732	57.819218	59.397419	61.979908	58.680038	56.097549	59.827827	58.96701	57.819218	56.814934	63.845051	56.527962	57.675751	64.562401	55.810608	63.414639	61.549503	59.971298	56.671429	55.236732	57.962692	59.253948	55.236732	58.106159	57.53228	53.802002	59.827827	60.832119	61.262558	60.832119	56.384487	61.549503	58.106159	58.106159	58.393097	53.37159	54.375881	59.253948	59.827827	57.101868	60.688652	56.958401	63.558109	61.69297	60.688652	60.401707	60.545177	59.397419	56.671429	57.962692	58.680038	62.697262	58.680038	56.384487	58.106159	58.823509	53.37159	59.971298	56.384487	55.810608	59.253948	54.08894	58.96701	62.697262	57.245338	55.380203	58.106159	57.53228	55.236732	52.223797	55.810608	61.119091	58.680038	53.945469	52.367271	55.52367	58.106159	52.367271	59.110481	56.241016	53.802002	51.649921	58.536572	53.802002	56.241016	51.936859	55.093258	52.941177	54.519348	54.80632	57.388813	55.380203	52.223797	52.654243	51.36298	57.388813	54.662853	50.789101	54.519348	54.232407	50.932568	48.780487	52.080326	50.789101	51.076042	53.228123	56.671429	56.384487	50.358688	50.932568	48.63702	48.780487	51.936859	51.936859	52.941177	54.08894	53.945469	52.223797	52.223797	49.497841	53.084648	50.215191	54.375881	46.771881	54.949791	50.358688	55.093258	54.80632	53.084648	51.649921	47.058823	50.932568	49.35437	52.654243	47.91964	51.219513	49.641308	47.91964	49.067429	51.649921	50.071716	49.35437	49.35437	46.62841	49.210899	46.62841	52.223797	54.519348	48.923962	52.080326	50.358688	50.932568	45.91103	48.63702	50.358688	44.189392	45.767559	44.47633	48.206608	46.62841	48.063107
310.16	55.013531	54.336037	53.252041	56.639557	59.620602	56.504059	57.994579	55.420067	57.723583	59.214073	58.265579	58.672077	55.691063	58.130081	58.536575	54.471535	53.658539	57.588081	53.929539	52.981014	53.252041	57.588081	54.336037	55.149036	55.962063	56.368561	53.794037	53.523041	51.897018	56.775059	56.504059	55.691063	58.401077	53.523041	58.672077	56.504059	53.116512	50.812996	53.794037	56.504059	53.929539	50.948494	57.859081	53.794037	52.710014	55.013531	56.639557	57.723583	58.265579	53.794037	57.588081	55.826561	56.233059	57.723583	50.406498	53.252041	55.420067	55.826561	53.794037	55.284565	54.878033	58.401077	58.943073	56.639557	57.588081	57.317085	54.878033	56.504059	54.200535	55.962063	57.588081	56.910557	55.420067	54.742535	56.097561	54.471535	56.097561	54.065037	55.826561	56.910557	50.541996	55.826561	59.078575	54.607033	52.574516	56.910557	54.336037	49.458004	50.812996	51.355022	57.317085	55.149036	50.541996	49.593502	53.523041	55.013531	51.76152	56.368561	51.626022	51.626022	49.187004	54.065037	51.76152	55.013531	48.102982	50.271	50.271	52.439014	50.812996	52.574516	53.523041	49.051476	49.864502	49.051476	54.065037	50.948494	47.831982	52.845512	48.50948	47.289982	49.458004	50.677498	48.644978	50.812996	51.626022	51.897018	50.271	48.23848	47.560986	44.715439	46.070461	48.780476	44.173439	50.271	52.981014	52.981014	46.612457	50.135498	49.729	51.76152	45.663963	50.948494	46.612457	51.355022	47.831982	52.168018	51.49052	49.593502	51.083992	43.902443	51.083992	50.812996	47.018955	44.308941	49.322502	45.392963	46.070461	46.070461	50.406498	47.967484	47.831982	49.729	43.224945	46.476955	42.276417	49.864502	48.780476	47.154484	49.187004	46.883453	48.915977	42.276417	45.121964	48.23848	45.934959	43.089447	41.056927	44.308941	43.224945	46.205959
313.46	54.274063	54.545433	52.64584	55.766613	57.394836	55.0882	57.937576	54.545433	54.274063	59.023071	58.208935	59.294434	58.208935	56.445026	57.666206	51.560371	54.002701	57.801891	53.459965	52.103104	54.002701	57.937576	54.816799	55.0882	56.716393	54.409748	53.731335	54.545433	53.324284	56.716393	55.902298	55.223877	59.294434	55.766613	60.108536	57.801891	51.289005	49.796459	56.580711	54.138382	50.339191	50.067825	54.545433	53.731335	53.188599	56.17366	56.716393	56.852077	57.937576	55.630928	57.801891	57.666206	56.037979	56.987793	51.967419	52.917236	57.123478	57.801891	52.781521	57.530521	53.731335	58.208935	58.34462	57.801891	57.530521	58.887356	51.696056	58.073257	54.002701	58.208935	54.002701	55.223877	54.952515	52.64584	56.309341	52.510155	55.359562	54.545433	56.852077	59.294434	54.681118	55.223877	57.801891	54.409748	51.831741	56.580711	56.17366	53.86702	53.052921	49.932144	54.681118	53.324284	52.917236	51.15332	52.238785	56.852077	51.560371	55.0882	56.17366	51.831741	51.560371	54.816799	49.525093	53.731335	50.067825	47.625496	48.439598	53.86702	50.881958	53.59565	53.188599	51.967419	50.474876	49.660778	49.932144	50.339191	50.339191	53.324284	46.675686	48.032551	52.37447	48.846676	49.118046	50.339191	53.324284	51.967419	52.510155	47.354134	46.540001	48.710964	49.525093	46.811398	45.590218	51.289005	52.37447	49.660778	46.40432	48.575279	50.339191	48.303913	48.710964	50.474876	46.40432	49.525093	47.218449	51.15332	49.389412	48.846676	50.881958	45.590218	49.932144	51.017643	49.389412	44.369041	51.15332	46.40432	47.625496	43.690624	48.846676	49.660778	48.575279	49.389412	44.369041	46.540001	45.725903	48.168228	47.761181	48.168228	47.354134	47.218449	48.303913	43.96199	44.233356	44.640408	46.132954	46.40432	40.027119	43.96199	43.96199	47.218449
316.76	52.191246	53.386452	49.402386	55.511276	55.378479	51.527214	54.847275	51.394417	52.058445	55.511276	56.308109	57.104908	55.245678	54.98008	56.440907	48.605583	53.120846	50.730412	52.058445	52.191246	52.988045	55.245678	55.112881	52.456844	53.253643	51.660011	52.988045	50.86322	51.79282	54.316078	53.386452	54.448879	55.245678	52.324043	57.503311	56.83931	51.660011	51.394417	53.253643	51.527214	52.589649	50.464813	52.191246	52.324043	50.199215	52.988045	55.644077	55.245678	56.440907	51.394417	56.042511	55.112881	53.253643	54.448879	50.996017	51.660011	54.316078	57.370506	49.667984	52.855247	53.784847	55.378479	55.112881	55.112881	55.511276	54.581676	49.269585	56.308109	53.917675	57.636112	52.456844	53.386452	53.652046	50.86322	55.378479	51.660011	53.120846	50.730412	52.988045	56.175308	51.394417	54.847275	53.784847	50.86322	51.261616	55.378479	52.456844	52.324043	49.933617	51.925648	51.660011	50.464813	49.667984	48.871185	48.605583	52.988045	49.402386	53.519249	52.589649	49.667984	49.933617	49.800785	48.339985	50.464813	48.207184	47.011955	45.816723	48.339985	50.996017	52.191246	50.332016	49.800785	48.074383	45.152721	49.800785	50.199215	46.87915	51.128815	46.480755	48.605583	47.675953	44.621521	46.87915	46.215153	49.003986	49.933617	52.324043	45.683922	45.152721	46.082352	46.082352	46.746353	46.347954	46.215153	49.402386	47.277554	43.293491	46.347954	46.613552	47.144753	46.480755	48.207184	45.418324	46.480755	45.949551	48.207184	50.730412	46.87915	48.605583	43.426289	46.613552	46.746353	47.410355	45.285522	46.746353	42.895092	45.285522	42.762291	47.808754	46.613552	45.683922	49.269585	45.551121	47.277554	43.426289	45.152721	46.215153	43.95752	45.01992	46.347954	46.082352	43.293491	40.903057	45.01992	41.832657	43.691891	42.496689	41.434258	42.62949	44.621521
320.06	52.660305	54.570232	49.522503	53.206001	54.160965	52.251007	56.616623	50.068195	53.615273	55.934502	58.39016	54.706692	55.934502	54.297386	56.070923	50.068195	52.933151	49.522503	54.706692	52.660305	51.159615	53.206001	54.02454	51.296036	51.568882	50.341045	52.387428	49.931774	52.796726	53.478848	51.432461	48.431084	54.979538	51.296036	57.162346	57.162346	53.06958	51.568882	50.750343	52.251007	54.02454	49.931774	51.02319	50.886768	47.066845	56.616623	55.388809	53.751694	54.433811	51.296036	54.843117	54.843117	54.979538	54.160965	48.97681	49.522503	54.843117	55.388809	51.705315	52.251007	50.613922	54.843117	55.115963	54.570232	53.615273	53.615273	49.522503	54.160965	53.342426	54.433811	54.979538	51.705315	50.204617	51.02319	56.480198	51.841736	54.02454	48.431084	51.159615	53.478848	50.886768	53.06958	51.978157	50.613922	51.705315	54.160965	53.478848	49.113232	48.567535	49.795349	51.568882	52.387428	50.613922	47.885387	50.613922	52.523849	47.748966	49.795349	51.02319	47.748966	47.066845	51.432461	47.339691	49.795349	49.522503	48.158234	47.339691	46.930424	51.159615	50.341045	48.840382	47.20327	45.156883	44.747616	50.750343	48.97681	46.930424	49.386078	47.476116	47.612541	46.521152	45.429733	45.293312	44.201889	48.294659	49.522503	50.068195	46.930424	45.566158	45.020462	46.521152	45.156883	45.429733	45.702579	47.476116	48.294659	42.701229	43.929043	46.248276	45.975426	44.884037	45.156883	44.201889	47.339691	46.384697	47.339691	48.431084	45.975426	48.021812	44.47477	47.339691	45.566158	47.339691	45.429733	46.930424	44.611191	45.702579	42.155502	46.930424	46.111851	42.701229	46.384697	41.60981	48.70396	42.564808	46.930424	45.839005	43.383347	45.429733	46.111851	46.111851	43.792618	41.336964	46.111851	39.972694	41.473385	39.290581	39.154156	41.200539	43.929043
323.36	48.882668	53.351967	51.955307	49.720676	55.586601	50.279324	56.005592	49.860336	51.396656	55.02792	54.608929	51.536324	54.888256	53.491627	55.586601	50.418991	51.955307	48.882668	52.513958	50.558651	52.234631	54.748596	52.094971	49.860336	49.301685	51.955307	51.815647	49.581013	47.067051	54.189945	47.625702	48.882668	55.865925	50.279324	56.005592	55.02792	51.815647	49.022327	51.396656	48.60334	49.581013	48.463676	50.558651	49.162025	45.111744	55.16758	51.955307	55.16758	54.748596	50.139664	54.189945	52.932949	53.910618	53.631294	48.184353	47.067051	50.698315	53.491627	50.139664	50.977642	50.418991	55.446941	53.351967	53.072613	53.212273	53.910618	51.815647	53.631294	49.581013	52.653622	51.815647	51.815647	49.162025	49.720676	52.653622	48.463676	52.513958	48.463676	49.720676	50.977642	47.346378	49.301685	52.513958	51.536324	49.301685	52.374298	51.955307	47.625702	48.044689	45.530731	53.072613	52.793282	48.044689	45.670395	49.162025	50.837975	48.324017	49.441349	50.558651	48.324017	43.854748	49.301685	48.044689	50.418991	47.346378	50	47.346378	48.324017	47.905029	50.977642	46.648033	46.229042	45.111744	45.949718	50.418991	48.324017	42.458088	47.486038	44.692722	47.206715	44.97208	45.530731	43.994408	46.508369	47.067051	47.486038	47.625702	44.553059	45.949718	43.854748	44.273735	44.134071	43.156433	45.391068	45.810055	47.206715	42.737411	44.134071	44.413395	47.346378	44.97208	45.111744	40.502781	48.882668	42.039101	47.206715	45.949718	45.810055	44.832386	43.854748	47.905029	44.134071	45.949718	39.385475	44.692722	43.016769	43.854748	40.642445	45.111744	45.949718	42.458088	44.413395	40.502781	45.251404	38.826828	45.530731	46.089382	41.62011	44.692722	41.62011	44.134071	40.223454	41.061462	44.553059	38.54747	39.106152	40.08379	38.40781	40.223454	41.759773
326.66	46.437988	51.583118	48.416882	51.187317	55.804752	49.604229	53.298164	50	50.923466	55.01318	54.485481	49.208427	50.659622	52.506592	53.430088	49.340378	47.22953	51.84697	49.208427	49.604229	48.15303	54.881252	49.208427	51.319271	52.242737	49.736153	51.187317	49.208427	48.021107	51.84697	51.451195	48.548805	55.01318	48.416882	55.672829	53.430088	48.416882	47.493408	50	49.208427	48.021107	46.833759	50.395775	50.527699	44.591022	50.263847	51.055397	53.298164	53.693939	50	55.145103	50.923466	52.110817	51.978893	47.097607	47.097607	50.131924	52.902359	47.493408	49.736153	48.548805	51.715046	51.84697	51.451195	53.957783	53.298164	49.472301	52.110817	48.680729	51.319271	50.527699	51.978893	48.680729	48.15303	49.340378	48.15303	49.604229	49.472301	49.340378	49.472301	44.986794	52.506592	52.770435	51.978893	47.889183	53.298164	51.978893	45.778366	46.437988	44.986794	50	48.548805	45.910294	46.042217	46.042217	49.472301	47.625336	53.034286	49.0765	46.965687	44.459095	50	45.118717	47.757259	44.195248	47.757259	46.306065	48.416882	47.625336	50	45.514519	46.833759	45.646442	46.306065	46.965687	46.569912	44.591022	46.437988	43.535625	44.327171	44.722946	45.118717	41.68866	47.757259	44.195248	47.889183	44.195248	43.535625	42.744053	41.292854	43.403702	43.403702	41.952507	45.778366	46.701836	46.569912	42.744053	42.875977	45.382595	45.646442	42.216354	45.778366	41.68866	45.778366	42.084431	46.042217	44.195248	45.118717	45.778366	41.160931	46.965687	44.591022	43.799477	40.501312	44.591022	43.403702	41.68866	40.105541	46.437988	44.195248	40.501312	42.612129	39.182041	44.459095	38.91819	42.612129	43.535625	41.820583	43.139824	42.348282	42.612129	40.105541	40.76516	41.820583	39.577843	39.709766	37.335072	38.522419	36.543526	40.897083
329.97	46.954304	51.903553	47.842644	51.142113	54.060913	48.096447	52.411163	48.984756	50	52.28426	51.269043	50.888313	50.63451	51.395947	52.28426	50.253803	47.081203	49.11166	45.939091	48.730953	48.096447	55.710663	50.253803	48.730953	52.791862	47.208107	47.969543	49.746197	49.36549	51.903553	50.253803	48.096447	51.269043	48.730953	52.91877	50.380707	47.461937	45.812187	52.791862	49.238564	46.700497	47.71574	50	47.081203	46.192894	49.8731	52.664967	51.142113	53.045666	49.238564	53.553303	51.142113	48.477154	51.64975	46.319794	46.954304	49.492393	52.91877	46.446697	46.700497	50.63451	50.63451	51.395947	51.52285	51.395947	53.1726	45.30455	51.903553	48.477154	50.761406	48.096447	48.984756	48.984756	45.17765	49.36549	46.573597	48.984756	48.35025	47.842644	51.395947	45.431454	50.761406	51.64975	49.238564	47.461937	49.492393	53.1726	46.700497	43.527901	45.558384	48.730953	47.71574	45.685284	47.842644	46.446697	50	44.162437	49.746197	48.984756	45.431454	45.812187	50	43.274097	45.812187	45.431454	44.796947	44.162437	48.984756	48.35025	46.954304	47.208107	45.558384	44.670044	42.893391	45.431454	46.573597	44.035538	45.812187	42.131981	44.670044	44.923847	42.512688	43.274097	44.796947	46.573597	47.208107	45.558384	40.355331	42.131981	43.020294	43.781734	42.258881	42.766491	44.923847	46.954304	45.685284	42.005081	42.131981	44.670044	43.908634	41.751278	45.431454	41.497444	44.162437	41.751278	43.527901	44.796947	45.30455	45.431454	43.274097	43.781734	44.162437	43.908634	41.751278	44.035538	40.228428	40.862934	38.705582	43.654831	43.654831	41.624348	44.289337	40.862934	43.781734	37.563438	39.340088	43.527901	41.751278	42.639587	43.274097	42.639587	36.548225	39.466988	43.147194	39.720795	38.451775	38.705582	39.340088	38.197975	40.862934
333.27	44.363655	46.060596	44.484863	46.787884	47.515148	44.242416	48.121227	43.515156	46.060596	47.39394	48.606068	48.121227	48.242439	48.848488	48.484859	44.727283	45.090912	43.878784	45.696964	44.727283	44.242416	47.39394	47.636356	44.727283	46.909096	45.454548	45.939384	47.030304	45.575756	49.090912	45.454548	44.363655	48.969696	45.333336	49.090912	46.787884	45.212128	43.272736	44.363655	43.15152	45.818176	43.757572	44.363655	44.484863	42.303024	48.848488	47.515148	48.242439	48.121227	46.909096	48.484859	45.939384	47.515148	46.666676	43.999992	43.15152	46.545467	49.69696	43.15152	46.303047	45.939384	46.060596	47.878777	50.54546	46.181835	47.878777	42.545471	50.303043	44.606075	48.363647	45.939384	45.575756	45.939384	43.999992	47.030304	43.878784	47.515148	44.848492	45.454548	47.39394	43.999992	46.787884	47.878777	45.696964	47.39394	45.575756	47.878777	43.030312	39.272736	42.181812	44.242416	43.515156	44.121204	41.212128	41.333344	47.030304	41.090919	45.696964	45.696964	42.303024	42.666683	43.878784	39.75758	42.545471	43.515156	41.090919	39.878788	43.272736	45.818176	44.606075	45.333336	39.878788	39.272736	40.24242	43.757572	41.81818	41.333344	41.696972	40.606052	41.333344	41.090919	38.060608	42.424232	37.818188	41.454552	42.181812	44.606075	39.151527	37.454559	37.454559	40	39.151527	40.606052	42.787891	40.848499	42.181812	38.060608	40.606052	40.363632	39.393951	40	42.666683	38.66666	40.48484	40.363632	40.48484	41.575764	40.969707	41.090919	40.363632	41.696972	39.393951	41.939392	38.303028	39.878788	37.575768	37.090923	36.727268	40.606052	39.393951	37.454559	39.393951	36.969688	40.969707	37.212135	38.181816	39.030315	37.333344	38.42424	39.151527	37.69698	36.121216	35.757587	40.363632	35.878796	35.030296	36.121216	36.000004	36.363636	38.060608
