Optical Power Monitor
1.1.2315.102
Delimiter Used: Tab

Start of Measurement 	 2/18/2022 12:51:40
Sample Interval 	 5 s
	 PM100USB 1903338
Type	 PM100USB
Serialnumber	 1903190
Sensor	 S405C
SensorSerialnumber	 1903338
Wavelength / Responsivity	 635 nm

			PM100USB 1903338	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 2/18/2022	 12:51:40	0.020551
1	 2/18/2022	 12:51:45	0.020554
2	 2/18/2022	 12:51:50	0.020573
3	 2/18/2022	 12:51:55	0.020575
4	 2/18/2022	 12:52:00	0.020579
5	 2/18/2022	 12:52:05	0.020587
6	 2/18/2022	 12:52:10	0.020582
7	 2/18/2022	 12:52:15	0.020592
8	 2/18/2022	 12:52:20	0.020594
9	 2/18/2022	 12:52:25	0.020608
10	 2/18/2022	 12:52:30	0.020606
11	 2/18/2022	 12:52:35	0.020598
12	 2/18/2022	 12:52:40	0.020601
13	 2/18/2022	 12:52:45	0.02058
14	 2/18/2022	 12:52:50	0.020579
15	 2/18/2022	 12:52:55	0.020591
16	 2/18/2022	 12:53:00	0.020593
17	 2/18/2022	 12:53:05	0.020591
18	 2/18/2022	 12:53:10	0.020598
19	 2/18/2022	 12:53:15	0.0206
20	 2/18/2022	 12:53:20	0.020598
21	 2/18/2022	 12:53:25	0.020586
22	 2/18/2022	 12:53:30	0.020586
23	 2/18/2022	 12:53:35	0.020595
24	 2/18/2022	 12:53:40	0.020579
25	 2/18/2022	 12:53:45	0.020603
26	 2/18/2022	 12:53:50	0.020593
27	 2/18/2022	 12:53:55	0.020584
28	 2/18/2022	 12:54:00	0.020586
29	 2/18/2022	 12:54:05	0.020584
30	 2/18/2022	 12:54:10	0.020584
31	 2/18/2022	 12:54:15	0.020589
32	 2/18/2022	 12:54:20	0.020586
33	 2/18/2022	 12:54:25	0.020581
34	 2/18/2022	 12:54:30	0.020573
35	 2/18/2022	 12:54:35	0.020605
36	 2/18/2022	 12:54:40	0.020604
37	 2/18/2022	 12:54:45	0.020598
