Optical Power Monitor
1.1.2315.102
Delimiter Used: Tab

Start of Measurement 	 2/18/2022 16:59:43
Sample Interval 	 5 s
	 PM100USB 1903338
Type	 PM100USB
Serialnumber	 1903190
Sensor	 S405C
SensorSerialnumber	 1903338
Wavelength / Responsivity	 635 nm

			PM100USB 1903338	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 2/18/2022	 16:59:43	0.020283
1	 2/18/2022	 16:59:48	0.020293
2	 2/18/2022	 16:59:53	0.020315
3	 2/18/2022	 16:59:58	0.020332
4	 2/18/2022	 17:00:03	0.020342
5	 2/18/2022	 17:00:08	0.020327
6	 2/18/2022	 17:00:13	0.020336
7	 2/18/2022	 17:00:18	0.020352
8	 2/18/2022	 17:00:23	0.020359
9	 2/18/2022	 17:00:28	0.020357
10	 2/18/2022	 17:00:33	0.020361
11	 2/18/2022	 17:00:38	0.020354
12	 2/18/2022	 17:00:43	0.020357
13	 2/18/2022	 17:00:48	0.02034
14	 2/18/2022	 17:00:53	0.020325
15	 2/18/2022	 17:00:58	0.020331
16	 2/18/2022	 17:01:03	0.020319
17	 2/18/2022	 17:01:08	0.020318
18	 2/18/2022	 17:01:13	0.020321
19	 2/18/2022	 17:01:18	0.020333
20	 2/18/2022	 17:01:23	0.020341
21	 2/18/2022	 17:01:28	0.020336
22	 2/18/2022	 17:01:33	0.020334
23	 2/18/2022	 17:01:38	0.020321
24	 2/18/2022	 17:01:43	0.020322
25	 2/18/2022	 17:01:48	0.020345
26	 2/18/2022	 17:01:53	0.020344
27	 2/18/2022	 17:01:58	0.02035
28	 2/18/2022	 17:02:03	0.020339
29	 2/18/2022	 17:02:08	0.020335
30	 2/18/2022	 17:02:13	0.020327
31	 2/18/2022	 17:02:18	0.020338
32	 2/18/2022	 17:02:23	0.020345
33	 2/18/2022	 17:02:28	0.020349
34	 2/18/2022	 17:02:33	0.020352
35	 2/18/2022	 17:02:38	0.020347
36	 2/18/2022	 17:02:43	0.020335
37	 2/18/2022	 17:02:48	0.020335
