	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.001_CAL01-C01_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:37:02 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	90,86	-1,29	-3,96	4,17	251,93	0,00	0,00	0,00	0,00	27,29	47,35	73,14	85,71	88,19	86,28	85,64	84,94	83,81	82,80	81,99	80,97	79,77	78,87	78,27	77,56	76,80	76,19	75,55	75,01	75,09	75,26	75,47	76,10	76,75	77,64	78,81	80,09	81,68	83,11	84,04	84,96	85,73	86,38	86,69
     2 	b.002_CAL01-C02_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:37:40 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	88,91	-5,77	-6,63	8,79	228,95	0,00	0,00	0,00	0,00	26,85	46,32	71,81	84,26	87,14	85,49	84,79	84,43	83,16	82,10	81,15	80,09	78,66	77,33	76,28	74,80	73,23	71,57	69,59	67,68	65,97	64,80	63,90	63,56	63,27	63,69	64,47	66,43	69,20	72,28	75,14	77,72	80,01	81,83	83,30
     3 	b.003_CAL01-C03_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:38:11 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	85,40	-12,44	-10,94	16,56	221,33	0,00	0,00	0,00	0,00	25,97	44,46	68,97	81,27	84,47	83,30	82,81	82,58	81,40	80,33	79,08	77,70	75,99	73,99	71,91	69,23	66,19	62,95	59,34	55,50	52,05	49,53	47,69	46,56	45,65	45,53	46,28	48,57	52,37	56,99	61,79	66,21	70,37	73,94	77,12
     4 	b.004_CAL01-C04_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:38:43 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	81,68	-18,13	-15,02	23,55	219,64	0,00	0,00	0,00	0,00	24,71	41,91	65,00	77,57	81,19	80,40	80,23	80,05	78,92	77,74	76,38	74,61	72,28	69,64	66,62	62,83	58,54	54,17	49,39	44,47	40,12	36,94	34,90	33,51	32,34	32,13	32,74	35,12	39,14	44,35	50,03	55,57	60,89	65,70	70,28
     5 	b.005_CAL01-C05_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:39:11 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	77,68	-23,44	-19,31	30,37	219,48	0,00	0,00	0,00	0,00	23,26	39,44	61,15	73,47	77,50	77,23	77,35	77,27	76,18	74,84	73,13	71,00	68,13	64,66	60,61	55,74	50,40	45,19	39,69	34,25	29,43	26,06	24,05	22,77	21,67	21,42	21,99	24,27	28,21	33,43	39,47	45,44	51,53	57,21	62,98
     6 	b.006_CAL01-C06_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:39:40 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	73,96	-27,66	-22,88	35,89	219,60	0,00	0,00	0,00	0,00	22,01	36,98	57,46	69,16	73,63	73,86	74,18	74,31	73,13	71,80	69,77	67,31	63,92	59,81	54,95	49,21	43,27	37,60	31,80	26,20	21,40	18,11	16,33	15,34	14,41	14,17	14,72	16,67	20,36	25,25	31,13	37,19	43,59	49,70	56,21
     7 	b.007_CAL01-C07_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:40:07 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	69,42	-31,63	-26,58	41,32	220,04	0,00	0,00	0,00	0,00	20,26	33,75	52,50	63,62	68,33	69,08	69,73	69,88	68,74	67,32	65,08	62,14	58,22	53,52	48,04	41,74	35,36	29,54	23,75	18,33	13,78	10,94	9,48	8,85	8,27	8,05	8,59	10,24	13,28	17,63	23,09	28,90	35,25	41,59	48,58
     8 	b.008_CAL01-C08_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:40:36 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	63,60	-35,27	-31,01	46,96	221,32	0,00	0,00	0,00	0,00	17,55	29,49	45,93	56,57	61,65	63,01	63,95	64,25	63,00	61,32	58,64	55,13	50,66	45,48	39,47	32,82	26,44	20,78	15,25	10,44	6,70	4,57	3,72	3,45	3,14	3,12	3,56	4,66	6,89	10,26	14,72	19,80	25,72	31,86	38,98
     9 	b.009_CAL01-C09_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:41:04 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	60,23	-36,84	-33,05	49,49	221,90	0,00	0,00	0,00	0,00	15,86	26,56	41,62	52,02	57,41	59,13	60,30	60,55	59,48	57,59	54,73	51,04	46,38	40,93	34,79	28,12	21,80	16,32	11,21	6,87	3,76	2,20	1,65	1,55	1,39	1,41	1,72	2,56	4,26	6,89	10,75	15,29	20,79	26,67	33,80
    10 	b.010_CAL01-C10_wbg		SCE	CM-2600d	------	1004031	1.23	1/28/2022 1:41:41 PM	1/28/2022 1:23:35 PM	Reflectance	di:8,de:8	SCE	SAV(3mm)	400nm cut	------	(None)	(None)	58,96	-37,64	-34,04	50,75	222,12	0,00	0,00	0,00	0,00	14,90	24,94	39,57	50,19	55,96	58,12	59,44	59,78	58,65	56,67	53,74	49,85	45,02	39,35	33,05	26,22	19,90	14,52	9,57	5,52	2,75	1,46	1,01	0,98	0,87	0,92	1,19	1,87	3,29	5,62	9,13	13,44	18,77	24,58	31,81
