	Data Name	Data Comment	Group Traits	Instrument Name	Variation	Serial No.	Firmware Version	Timestamp	Calibrated Date	Measurement Type	Geometry	Specular Component	Measurement Area	UV Setting	Observer	Illuminant 1	Illuminant 2	L*(D65)	a*(D65)	b*(D65)	C*(D65)	h(D65)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	b.061_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 10:22:17 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	51,69	-9,42	-10,94	14,44	229,27	0,00	0,00	0,00	0,00	22,92	24,53	25,29	25,70	25,77	26,02	26,35	26,58	26,75	26,74	26,17	25,39	24,18	22,75	21,22	19,62	18,23	17,01	15,80	14,83	13,97	13,49	13,21	13,48	14,40	15,97	18,30	21,54	25,64	30,69	36,92	43,43	50,58	57,08	63,63
     1 	b.061_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 10:22:17 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	51,97	-9,37	-10,76	14,27	228,97	0,00	0,00	0,00	0,00	23,15	24,74	25,49	25,89	25,96	26,19	26,53	26,76	26,95	26,95	26,39	25,63	24,43	23,00	21,49	19,89	18,50	17,27	16,06	15,09	14,22	13,74	13,46	13,73	14,66	16,25	18,60	21,85	25,96	31,04	37,28	43,81	50,96	57,47	64,02
     2 	b.062_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 10:22:32 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	53,16	-9,66	-10,61	14,35	227,67	0,00	0,00	0,00	0,00	24,03	25,65	26,54	26,93	27,13	27,38	27,77	28,05	28,26	28,19	27,69	26,95	25,74	24,25	22,69	21,01	19,57	18,26	16,99	15,94	15,02	14,50	14,19	14,47	15,40	17,04	19,42	22,59	26,78	31,73	37,94	44,29	51,34	57,78	64,21
     2 	b.062_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 10:22:32 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	53,43	-9,63	-10,40	14,18	227,20	0,00	0,00	0,00	0,00	24,16	25,78	26,68	27,08	27,28	27,54	27,93	28,24	28,46	28,40	27,91	27,19	25,99	24,51	22,96	21,28	19,83	18,53	17,25	16,19	15,27	14,75	14,43	14,72	15,66	17,32	19,72	22,90	27,11	32,08	38,30	44,68	51,73	58,19	64,63
     3 	b.063_BW1-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 10:22:48 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	51,47	-9,67	-11,23	14,81	229,27	0,00	0,00	0,00	0,00	23,01	24,45	25,27	25,64	25,72	25,95	26,30	26,53	26,70	26,63	26,15	25,30	24,10	22,61	21,04	19,42	18,02	16,74	15,55	14,55	13,65	13,19	12,89	13,20	14,11	15,72	18,00	21,25	25,35	30,48	36,79	43,35	50,57	57,20	63,80
     3 	b.063_BW1-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 10:22:48 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	51,75	-9,62	-11,02	14,63	228,88	0,00	0,00	0,00	0,00	23,15	24,60	25,42	25,80	25,88	26,13	26,46	26,72	26,89	26,84	26,37	25,53	24,34	22,86	21,30	19,70	18,29	17,00	15,81	14,80	13,90	13,43	13,14	13,44	14,35	15,98	18,29	21,54	25,67	30,81	37,14	43,70	50,94	57,57	64,17
     4 	b.064_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 10:23:30 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	47,99	-10,75	-26,50	28,59	247,91	0,00	0,00	0,00	0,00	27,47	29,92	32,21	33,25	33,35	32,99	32,21	31,60	30,67	29,46	27,76	25,41	22,85	20,17	17,51	14,99	12,97	11,37	10,11	9,19	8,50	8,16	7,90	7,96	8,38	9,19	10,40	12,32	14,92	18,44	23,21	29,04	36,41	44,12	53,10
     4 	b.064_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 10:23:30 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	48,15	-10,76	-26,29	28,41	247,74	0,00	0,00	0,00	0,00	27,47	29,93	32,23	33,28	33,39	33,03	32,25	31,66	30,74	29,54	27,86	25,52	22,97	20,31	17,65	15,14	13,11	11,51	10,24	9,33	8,62	8,28	8,02	8,07	8,49	9,31	10,54	12,47	15,08	18,63	23,41	29,26	36,65	44,36	53,35
     5 	b.065_BW2-A_wbg		SCI	CM-2600d	------	1004031	1.23	2/1/2022 10:23:46 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	48,03	-10,79	-26,40	28,52	247,76	0,00	0,00	0,00	0,00	27,34	30,04	32,17	33,33	33,29	32,84	32,29	31,58	30,62	29,48	27,69	25,48	22,92	20,16	17,55	15,06	13,03	11,42	10,14	9,23	8,53	8,18	7,90	7,96	8,39	9,16	10,49	12,23	14,87	18,36	23,08	28,83	36,12	43,77	52,80
     5 	b.065_BW2-A_wbg		SCE	CM-2600d	------	1004031	1.23	2/1/2022 10:23:46 AM	2/1/2022 10:20:48 AM	Reflectance	di:8,de:8	SCI+SCE	SAV(3mm)	400nm cut	------	(None)	(None)	48,18	-10,82	-26,20	28,35	247,57	0,00	0,00	0,00	0,00	27,36	30,06	32,20	33,36	33,32	32,88	32,33	31,65	30,69	29,57	27,80	25,60	23,04	20,30	17,69	15,21	13,17	11,55	10,27	9,35	8,64	8,30	8,01	8,08	8,50	9,28	10,63	12,38	15,03	18,53	23,28	29,05	36,35	44,02	53,07
